t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
555831069,-0.23560,-0.96326,-0.03601,-8.8550,-11.3130,0.3053,0.59766,-0.78687,0.14526,3.5878,-5.9466,3.3053
555832067,-0.24255,-0.94751,-0.05054,-9.3740,-11.6565,0.5878,0.59485,-0.78662,0.14636,3.5344,-6.1679,3.4885
555833068,-0.24878,-0.95850,-0.06262,-9.3740,-11.8397,0.8168,0.59216,-0.78674,0.14746,3.4351,-6.4122,3.6641
555834067,-0.24744,-0.97888,-0.05615,-8.6183,-11.7252,0.6794,0.59009,-0.78772,0.14954,3.3130,-6.6870,3.8550
555835067,-0.24451,-0.98340,-0.04565,-7.6336,-11.3969,0.2290,0.58691,-0.79004,0.15149,3.1908,-6.9847,4.0687
555836067,-0.24280,-0.96228,-0.04822,-7.1450,-11.0458,-0.1374,0.58350,-0.79260,0.15259,3.0458,-7.3053,4.2901
555837067,-0.24609,-0.94250,-0.06531,-6.9466,-10.8092,-0.1527,0.58105,-0.79443,0.15515,2.8550,-7.6489,4.4962
555838065,-0.25012,-0.95215,-0.07544,-6.7252,-10.7099,0.0763,0.57837,-0.79614,0.15857,2.6412,-8.0076,4.7176
555839069,-0.24939,-0.98328,-0.06787,-6.7557,-10.7099,0.3130,0.57532,-0.79846,0.16125,2.4351,-8.3740,4.8931
555840064,-0.24438,-1.00623,-0.05029,-7.3969,-10.6641,0.4733,0.57129,-0.80078,0.16467,2.2214,-8.7557,5.0763
555841068,-0.23804,-1.00269,-0.02844,-8.4885,-10.4504,0.5496,0.56726,-0.80371,0.16956,2.0229,-9.1527,5.2519
555842068,-0.23315,-0.97766,-0.01050,-9.3969,-10.1985,0.5649,0.56421,-0.80725,0.17505,1.8092,-9.5878,5.4427
555843068,-0.23303,-0.95044,-0.01001,-9.5573,-10.2214,0.5344,0.56067,-0.81079,0.17969,1.6107,-10.0000,5.6336
