t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
583887068,0.02148,-2.00000,1.99994,27.4046,13.7023,-14.5802,0.36353,-1.03674,-0.13135,21.2290,-22.7634,12.8397
583888068,0.06750,-2.00000,1.99994,15.5496,7.3359,-27.8397,0.37268,-1.03638,-0.14697,20.9160,-22.8779,13.1069
583889068,0.05518,-2.00000,1.86682,5.8321,-5.6947,-40.9008,0.38184,-1.03516,-0.16296,20.2901,-22.9008,13.3206
583890068,0.25708,-1.34863,1.74646,-8.7099,-24.8931,-43.8702,0.39172,-1.03503,-0.18311,19.3740,-22.8702,13.4275
583891067,0.45850,-0.53821,1.55200,-34.9313,-54.3893,-37.8550,0.40210,-1.03809,-0.20837,18.2519,-22.7939,13.4198
583892067,0.26196,0.23743,0.98975,-55.9618,-89.2824,-29.5649,0.41394,-1.04175,-0.23853,17.0382,-22.5649,13.2366
583893067,-0.04944,0.63074,0.56238,-53.5649,-112.9847,-22.3435,0.42542,-1.04382,-0.27136,15.7405,-22.1756,12.8397
583894068,-0.24744,0.56458,0.23804,-40.7328,-120.1985,-14.3130,0.43372,-1.04395,-0.30322,14.3893,-21.7023,12.2824
583895068,-0.66370,0.55896,-0.67627,-37.2901,-115.6336,-3.2672,0.43933,-1.04358,-0.32983,13.0458,-21.2443,11.6565
583896067,-1.23633,0.78381,-1.94019,-38.0458,-96.9924,9.4580,0.44434,-1.04346,-0.35339,11.8092,-20.9160,10.9924
583897067,-1.51880,0.87708,-2.00000,-33.3817,-63.1221,20.5954,0.44897,-1.04333,-0.37878,10.6565,-20.6794,10.3130
583898067,-1.50830,0.74060,-2.00000,-21.5954,-25.3893,26.7710,0.45483,-1.04456,-0.40430,9.5878,-20.4198,9.6336
583899067,-1.49634,0.47559,-2.00000,-3.8168,2.6718,28.0534,0.46362,-1.04504,-0.42834,8.6260,-20.0305,8.8779
583900068,-1.43945,-0.12939,-2.00000,7.2748,23.2443,29.6336,0.47339,-1.04272,-0.45496,7.7252,-19.5344,8.0305
583901068,-1.17285,-1.12695,-1.42078,-3.0687,40.1450,33.6641,0.48193,-1.03943,-0.48218,6.7328,-18.9313,7.0916
583902068,-0.80444,-1.89331,-0.81018,-23.5115,50.6870,33.2595,0.48865,-1.03564,-0.50647,5.5573,-18.2977,6.1221
583903067,-0.53931,-1.77466,-0.46838,-32.5115,50.7481,23.6489,0.49377,-1.03064,-0.53125,4.1985,-17.7405,5.1679
583904068,-0.30481,-1.08850,-0.21436,-28.7557,42.9313,12.5649,0.49854,-1.02576,-0.55603,2.7252,-17.2977,4.3130
583905067,-0.05457,-0.22034,0.03210,-27.8550,32.3206,7.2443,0.50391,-1.02197,-0.58118,1.1145,-16.9924,3.4580
583906068,-0.07251,1.66663,0.33032,-31.6031,23.3359,3.1832,0.50867,-1.01892,-0.60718,-0.6336,-16.7710,2.5496
583907068,-0.22668,1.99994,1.52344,-10.4427,28.3588,-1.6412,0.51257,-1.01770,-0.63281,-2.5496,-16.5878,1.6412
583908068,-0.08789,1.99994,1.99994,61.5649,33.2443,2.7023,0.51746,-1.01953,-0.65845,-4.5954,-16.4733,0.7481
583909068,0.04407,1.99994,1.99994,155.6183,15.2748,28.4580,0.52380,-1.02539,-0.68237,-6.7328,-16.4275,-0.0763
583910068,-0.34729,-2.00000,1.99994,222.3969,-18.2748,46.9389,0.53040,-1.03394,-0.70581,-8.9924,-16.4351,-0.8168
583911068,-0.90894,-2.00000,1.99994,250.1298,-48.6031,29.7481,0.53491,-1.04419,-0.73218,-11.3511,-16.5344,-1.4504
583912068,-1.46765,-2.00000,1.13220,250.1298,-65.2977,-1.3588,0.53699,-1.05408,-0.76013,-13.8168,-16.7023,-2.0153
583913068,-1.38477,-1.74585,1.13831,250.1298,-74.3893,-2.0763,0.53845,-1.06299,-0.78931,-16.4046,-16.9084,-2.4962
583914068,-0.49072,-2.00000,1.99994,250.1298,-81.4962,30.2061,0.53821,-1.07166,-0.81897,-19.0382,-17.2214,-2.9084
583915068,-0.31848,-2.00000,1.99994,171.5649,-100.7710,53.3817,0.53564,-1.07971,-0.84766,-21.6794,-17.6794,-3.2214
583916067,-0.44312,-2.00000,1.00452,65.9237,-98.7710,40.0305,0.53369,-1.08655,-0.87708,-24.3435,-18.2672,-3.4504
583917067,-0.39404,-2.00000,1.05811,18.9237,-71.7939,2.5802,0.53210,-1.09180,-0.90833,-27.0000,-18.9618,-3.6412
583918067,-0.36926,-2.00000,1.51550,-17.8855,-51.2366,-23.9389,0.52930,-1.09692,-0.94031,-29.6412,-19.7710,-3.8015
583919068,-0.45203,-2.00000,1.08594,-82.2061,-40.1756,-23.1221,0.52722,-1.10193,-0.97131,-32.2595,-20.6565,-3.9618
583920068,-1.02136,-2.00000,0.21240,-128.4962,-40.0153,-10.2824,0.52698,-1.10596,-0.99976,-34.8855,-21.6336,-4.1221
583921068,-0.95569,-2.00000,0.42261,-108.4885,-27.3282,-10.5115,0.52710,-1.10974,-1.02673,-37.4885,-22.6260,-4.3130
583922067,-0.47107,-2.00000,1.40491,-35.4885,-26.4504,-33.8244,0.52734,-1.11328,-1.05359,-40.0611,-23.5878,-4.5573
583923067,-0.59973,-1.75330,1.10632,40.7557,-49.0763,-59.9771,0.52905,-1.11523,-1.07959,-42.5725,-24.5038,-4.8626
583924067,-0.79993,-0.16272,0.38379,70.7023,-66.8473,-62.9542,0.53308,-1.11597,-1.10315,-44.9924,-25.3740,-5.2061
583925067,-0.76306,0.43579,0.17920,62.7710,-72.2443,-43.4046,0.53882,-1.11621,-1.12366,-47.3664,-26.1756,-5.5954
583926068,-0.91895,-0.73340,0.20483,53.7481,-73.2519,-22.0687,0.54480,-1.11511,-1.14270,-49.7252,-26.8626,-6.0229
583927067,-1.07886,-2.00000,0.12781,45.7863,-72.0458,-12.0534,0.54980,-1.11389,-1.15942,-52.0611,-27.4122,-6.5191
583928068,-1.03235,-2.00000,-0.19360,11.0763,-64.4504,-16.7786,0.55469,-1.11218,-1.17456,-54.3282,-27.8092,-7.0992
583929067,-1.06909,-2.00000,-0.52319,-53.7328,-41.9389,-27.5420,0.55981,-1.10925,-1.19104,-56.5420,-28.0611,-7.7252
583930067,-0.96558,-0.64355,-0.35168,-123.2443,-9.3130,-28.5420,0.56458,-1.10535,-1.20911,-58.7634,-28.1603,-8.3969
583931068,-0.38367,0.25000,0.33215,-166.6107,16.6031,-20.8626,0.56934,-1.10107,-1.22656,-61.0000,-28.0840,-9.1298
583932068,0.07190,-0.32422,1.01807,-168.9008,17.9695,-15.6870,0.57385,-1.09644,-1.24243,-63.2061,-27.8015,-9.9084
583933068,0.10596,-1.18103,1.21094,-138.1756,-3.1985,-21.7710,0.57764,-1.09155,-1.25623,-65.3969,-27.3282,-10.7023
583934067,0.11755,-1.50781,0.98914,-97.3359,-26.2595,-36.1221,0.58044,-1.08704,-1.26892,-67.6031,-26.6794,-11.4733
583935068,-0.10461,-1.14734,0.43518,-62.4198,-48.9466,-49.9924,0.58203,-1.08435,-1.28235,-69.8321,-25.8626,-12.2137
583936068,-0.36353,-0.03674,0.03540,-26.9008,-65.7481,-57.0763,0.58264,-1.08276,-1.29602,-72.0763,-24.8779,-12.9466
583937067,-0.30835,0.93896,0.12634,7.0305,-78.7939,-49.7328,0.58252,-1.08093,-1.30981,-74.3435,-23.7405,-13.6565
583938068,-0.41235,0.73828,-0.01074,14.1374,-88.2214,-31.0916,0.58130,-1.07996,-1.32312,-76.6183,-22.4656,-14.3588
583939068,-0.65222,-0.27258,-0.51392,-7.6641,-85.0611,-13.2748,0.58105,-1.08020,-1.33606,-78.8931,-21.0305,-15.0458
583940067,-0.60071,-1.24731,-0.63135,-31.9466,-66.8931,-5.8397,0.58240,-1.08167,-1.34985,-81.1374,-19.4198,-15.7023
583941068,-0.49243,-1.75610,-0.29065,-55.3664,-50.9008,-5.0458,0.58350,-1.08325,-1.36414,-83.3511,-17.6031,-16.3511
583942068,-0.54431,-1.42932,-0.86389,-88.9389,-50.8473,-6.0534,0.58362,-1.08301,-1.37793,-85.5115,-15.5954,-16.9771
583943068,-1.12000,-0.43884,-2.00000,-113.9084,-72.1145,-7.9542,0.58459,-1.08130,-1.39197,-87.6107,-13.4198,-17.5649
583944067,-1.82825,-0.00818,-2.00000,-115.3130,-91.3130,-6.9771,0.58569,-1.07959,-1.40564,-89.6565,-11.0916,-18.1298
583945067,-1.63501,-1.06714,-2.00000,-113.0000,-85.1603,-0.7939,0.58521,-1.07874,-1.41760,-91.6565,-8.6107,-18.6870
583946067,-1.03381,-2.00000,-2.00000,-120.8550,-71.3130,1.6260,0.58447,-1.07947,-1.42871,-93.5649,-5.9618,-19.1908
583947067,-1.15259,-2.00000,-2.00000,-118.9847,-56.4504,-9.7099,0.58411,-1.08093,-1.43945,-95.3359,-3.1298,-19.6336
583948067,-1.64124,-1.63342,-2.00000,-98.9389,-25.8092,-26.6412,0.58337,-1.08228,-1.44873,-96.9466,-0.1374,-20.0229
583949068,-1.37878,-0.97229,-2.00000,-82.5802,19.4046,-29.7328,0.58252,-1.08447,-1.45801,-98.4198,3.0229,-20.4122
583950067,-1.01160,-1.23645,-2.00000,-89.0229,49.3359,-23.6412,0.58069,-1.08850,-1.46851,-99.7405,6.3664,-20.7939
583951067,-1.32275,-1.34778,-2.00000,-97.8473,50.8015,-25.2214,0.57837,-1.09399,-1.47974,-100.9008,9.8321,-21.1679
583952068,-1.51135,-1.14844,-2.00000,-90.2214,39.6336,-37.5725,0.57654,-1.09949,-1.49072,-101.8779,13.4427,-21.5954
583953068,-1.22083,-0.75964,-2.00000,-80.1145,26.5420,-51.1832,0.57446,-1.10498,-1.50256,-102.6260,17.2061,-22.0687
583954068,-0.90527,-0.21619,-2.00000,-86.0229,16.0534,-55.8779,0.57166,-1.11157,-1.51526,-103.0992,21.1221,-22.5420
583955068,-0.76111,0.08154,-1.53516,-104.0382,9.2519,-47.6718,0.56885,-1.12000,-1.52820,-103.2977,25.1756,-22.9924
583956068,-0.60889,-0.08618,-1.35510,-122.3817,13.7710,-33.7863,0.56580,-1.12976,-1.54272,-103.2672,29.3359,-23.4275
583957067,-0.57971,0.00867,-1.42041,-128.4351,28.0992,-25.3740,0.56201,-1.13989,-1.55798,-103.0076,33.6107,-23.8550
583958067,-0.69128,0.64099,-1.62512,-117.0611,45.3893,-21.7634,0.55774,-1.15002,-1.57214,-102.4733,38.0153,-24.3130
583959067,-0.70435,0.93835,-2.00000,-98.1603,55.5344,-16.1908,0.55432,-1.16040,-1.58667,-101.6336,42.5420,-24.7939
583960068,-0.96765,0.39050,-2.00000,-86.2443,49.5115,-7.2901,0.55188,-1.17090,-1.60229,-100.4962,47.1756,-25.2977
583961067,-1.21838,-0.48206,-2.00000,-77.5115,31.7481,-4.1908,0.54907,-1.17896,-1.61877,-99.0763,51.8931,-25.8092
583962068,-1.11218,-0.72534,-2.00000,-61.3817,23.6870,-14.6336,0.54736,-1.18970,-1.63550,-97.3817,56.7176,-26.2901
583963068,-0.73657,-0.47388,-2.00000,-42.7176,32.3740,-29.3053,0.54651,-1.20117,-1.65125,-95.4046,61.7099,-26.9008
583964067,-0.49731,-0.25330,-1.61353,-38.6947,36.9618,-34.9389,0.54492,-1.20667,-1.66626,-93.2061,66.8321,-27.6412
583965067,-1.12354,-0.23901,-2.00000,-56.6565,29.3435,-28.5191,0.54382,-1.21082,-1.67981,-90.7634,72.0458,-28.3435
583966067,-1.99377,-0.45020,-2.00000,-78.7023,36.0076,-20.3893,0.54321,-1.21680,-1.69153,-88.1450,77.3511,-28.8855
583967068,-2.00000,-0.70984,-2.00000,-90.8244,67.2824,-17.0687,0.54517,-1.22314,-1.70117,-85.3435,82.8168,-29.3282
583968068,-2.00000,-0.92297,-2.00000,-100.7328,100.7786,-14.4198,0.54871,-1.22815,-1.70947,-82.3893,88.5802,-29.7786
583969067,-1.68005,-0.74426,-2.00000,-115.0382,127.1450,-9.5191,0.55090,-1.23157,-1.71936,-76.1679,100.9313,-30.6870
583970067,-1.44299,-0.13464,-2.00000,-127.4275,143.2672,-1.6489,0.55188,-1.22974,-1.72168,-72.9542,107.4656,-31.0916
583971068,-1.16040,0.50037,-2.00000,-132.3588,163.5496,7.0840,0.55310,-1.22656,-1.72290,-69.7405,114.2137,-31.4351
583972068,-0.75989,0.85510,-1.39368,-130.6718,183.6718,14.0382,0.55322,-1.22302,-1.72119,-66.5649,121.2061,-31.7328
583973067,-0.80920,0.96863,-1.14478,-122.6107,182.8321,19.0687,0.55176,-1.21838,-1.71729,-63.4809,128.4351,-32.0000
583974067,-0.77576,1.14539,-1.53687,-105.8779,163.6947,21.9924,0.54858,-1.21375,-1.71191,-60.5496,135.9084,-32.2519
583975067,-0.55627,1.32983,-2.00000,-82.7405,130.9771,24.7863,0.54382,-1.20898,-1.70447,-57.8092,143.6183,-32.4962
583976067,-0.70850,0.77710,-1.81763,-52.3206,100.9237,28.7863,0.53845,-1.20386,-1.69592,-55.2443,151.5802,-32.7176
583977068,-0.66235,-0.66785,-0.87268,-20.7863,85.4198,31.9771,0.53284,-1.19897,-1.68640,-52.8473,159.7863,-32.9542
583978068,-0.70056,-1.87744,-0.94629,-8.3969,73.5496,32.6794,0.52600,-1.19373,-1.67505,-50.6107,168.2290,-33.1832
583979067,-1.62646,-2.00000,-2.00000,-8.2748,62.6107,29.1527,0.51794,-1.18909,-1.66223,-48.5344,176.8855,-33.4351
583980067,-2.00000,-2.00000,-2.00000,0.1450,78.4198,20.4504,0.50903,-1.18542,-1.64929,-46.6260,185.7786,-33.7252
583981068,-2.00000,-2.00000,-2.00000,9.5878,118.6412,10.6183,0.49927,-1.18127,-1.63513,-44.8855,194.8931,-34.0382
583982067,-2.00000,-2.00000,-2.00000,4.5344,155.2443,1.7863,0.48901,-1.17700,-1.61755,-43.2977,204.2214,-34.4275
