t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
2391720064,0.01038,-0.99402,-0.12231,-7.8244,-3.8244,-0.2519,0.67810,-0.77551,0.11292,-6.0382,-3.7328,-2.0305
2391721064,0.02051,-1.00854,-0.10681,-7.9618,-3.7099,0.0305,0.67981,-0.77515,0.11169,-6.1908,-3.7786,-2.0229
2391722062,0.03162,-1.02100,-0.08105,-8.0916,-3.7023,0.1832,0.68115,-0.77527,0.11133,-6.3435,-3.8015,-1.9847
2391723065,0.03088,-1.02649,-0.08789,-8.0000,-4.0000,0.0611,0.68213,-0.77600,0.11194,-6.4656,-3.7786,-1.9542
2391724068,0.01819,-1.02100,-0.11121,-7.8321,-4.1298,-0.2366,0.68323,-0.77722,0.11206,-6.5573,-3.7099,-1.9237
2391725066,0.01062,-1.01819,-0.11951,-7.9466,-3.9847,-0.4046,0.68445,-0.77942,0.11023,-6.6031,-3.6336,-1.9008
2391726066,0.00647,-1.03210,-0.13635,-8.1985,-3.9542,-0.3817,0.68457,-0.78149,0.10815,-6.6336,-3.5496,-1.8855
2391727066,0.00574,-1.04419,-0.13635,-8.2977,-3.7099,-0.5725,0.68384,-0.78259,0.10718,-6.6412,-3.4504,-1.8702
2391728066,0.02417,-1.04517,-0.10657,-8.0229,-3.3206,-0.9466,0.68408,-0.78394,0.10681,-6.6336,-3.3435,-1.8321
2391729066,0.03870,-1.04932,-0.07336,-7.5649,-3.1679,-1.2977,0.68457,-0.78613,0.10718,-6.6031,-3.2137,-1.7634
2391730066,0.03394,-1.03931,-0.08484,-7.4427,-3.5649,-1.5954,0.68384,-0.78845,0.10767,-6.5496,-3.0611,-1.6718
2391731066,0.02100,-1.00330,-0.10962,-7.6412,-3.7252,-1.8015,0.68298,-0.78943,0.10767,-6.4733,-2.8855,-1.5954
2391732066,0.00806,-0.97437,-0.10535,-7.7939,-3.6794,-1.6260,0.68274,-0.78979,0.10645,-6.3588,-2.6870,-1.5496
2391733066,0.00732,-0.98450,-0.11658,-7.7557,-3.7786,-1.0840,0.68225,-0.79053,0.10535,-6.1985,-2.4656,-1.5191
2391734066,0.00867,-1.02185,-0.12634,-7.5115,-3.9008,-0.6412,0.68164,-0.79126,0.10596,-6.0153,-2.2137,-1.4733
