t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
494375067,-0.66736,-0.67737,0.15112,-9.1603,-3.8626,-1.3740,0.45715,-0.91650,0.14771,-1.2519,4.1679,0.5802
494376068,-0.66504,-0.68872,0.15833,-8.4885,-4.1603,-1.5954,0.45667,-0.91614,0.14685,-1.2137,4.0992,0.5573
494377068,-0.65857,-0.69690,0.15210,-8.1069,-4.4580,-1.8397,0.45703,-0.91614,0.14648,-1.1908,4.0076,0.5344
494378068,-0.65540,-0.68018,0.15625,-8.1221,-4.6183,-2.1450,0.45776,-0.91638,0.14685,-1.1603,3.9313,0.5115
494379068,-0.65918,-0.64050,0.16821,-8.1221,-4.6031,-2.3664,0.45801,-0.91614,0.14685,-1.1450,3.8626,0.4580
494380067,-0.66309,-0.62268,0.15991,-7.8244,-4.7252,-2.2595,0.45862,-0.91602,0.14661,-1.1756,3.7863,0.3969
494381068,-0.67175,-0.64636,0.14832,-7.2672,-4.8931,-1.9618,0.45996,-0.91492,0.14734,-1.2137,3.6794,0.3359
494382068,-0.67542,-0.68079,0.14929,-6.9771,-4.8702,-1.7405,0.46094,-0.91333,0.14734,-1.2214,3.5496,0.2824
494383068,-0.67322,-0.70142,0.14282,-7.5496,-4.7023,-1.4962,0.46204,-0.91211,0.14612,-1.2214,3.4198,0.2290
494384068,-0.68066,-0.70178,0.12976,-8.5573,-4.6107,-1.2901,0.46338,-0.91162,0.14502,-1.2672,3.2824,0.1756
494385067,-0.68384,-0.68030,0.12927,-9.0305,-4.3511,-1.2977,0.46375,-0.91113,0.14539,-1.3282,3.1603,0.1298
494386067,-0.67444,-0.66211,0.14307,-9.1679,-4.0534,-1.2672,0.46375,-0.91052,0.14636,-1.3969,3.0305,0.0840
494387068,-0.67224,-0.67224,0.15125,-9.3511,-4.0076,-1.1221,0.46375,-0.90955,0.14636,-1.4809,2.8855,0.0458
