t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
3311675066,-0.01013,-0.99573,0.05286,-8.0076,-3.3511,-0.4885,0.54236,-0.86523,0.06152,-1.4656,-0.2519,-0.3588
3311676064,-0.01013,-0.99414,0.05347,-8.0000,-3.5344,-0.5496,0.54199,-0.86438,0.06348,-1.4656,-0.2901,-0.3435
3311677063,-0.01575,-0.99438,0.03284,-7.8473,-3.8397,-0.5496,0.54163,-0.86292,0.06531,-1.4504,-0.3206,-0.2977
3311678064,-0.02026,-0.99988,0.02039,-7.6412,-3.9084,-0.5649,0.54065,-0.86230,0.06702,-1.4733,-0.3740,-0.2443
3311679067,-0.01562,-1.00342,0.03064,-7.4885,-3.7634,-0.6718,0.54004,-0.86169,0.06677,-1.5115,-0.4427,-0.2137
3311680067,-0.00903,-1.00623,0.03918,-7.6031,-3.7481,-0.7481,0.54028,-0.86145,0.06628,-1.5267,-0.5191,-0.2214
3311681066,-0.00977,-1.00586,0.04138,-7.9313,-3.8168,-0.7939,0.54041,-0.86169,0.06641,-1.5191,-0.5802,-0.1985
3311682066,-0.01379,-0.99646,0.04187,-8.1374,-3.8244,-0.9313,0.54065,-0.86121,0.06616,-1.4885,-0.6336,-0.1603
3311683064,-0.01697,-0.98706,0.03430,-7.9542,-3.7939,-1.0305,0.54065,-0.86157,0.06641,-1.4580,-0.7176,-0.1527
3311684068,-0.01807,-0.99426,0.02698,-7.7481,-3.6947,-0.9160,0.54004,-0.86182,0.06714,-1.4351,-0.7939,-0.1527
3311685067,-0.01404,-1.00684,0.03406,-8.0000,-3.5573,-0.7634,0.53894,-0.86084,0.06738,-1.4046,-0.8702,-0.1450
3311686066,-0.01111,-1.00598,0.04443,-8.3817,-3.5954,-0.7710,0.53796,-0.86121,0.06726,-1.3740,-0.9160,-0.1298
3311687064,-0.01709,-0.99438,0.03491,-8.2977,-3.8550,-0.8779,0.53723,-0.86218,0.06714,-1.3435,-0.9618,-0.1069
3311688068,-0.02441,-0.98853,0.01978,-7.7634,-3.9618,-0.9695,0.53552,-0.86292,0.06641,-1.3130,-1.0153,-0.0229
3311689066,-0.02283,-0.99292,0.02319,-7.3435,-3.7863,-0.9695,0.53442,-0.86365,0.06482,-1.3130,-1.0687,-0.0076
3311690067,-0.01489,-1.00403,0.03577,-7.3435,-3.6565,-0.9008,0.53308,-0.86377,0.06396,-1.2901,-1.1221,-0.0153
3311691066,-0.01099,-1.01489,0.03186,-7.6489,-3.8168,-0.9008,0.53284,-0.86316,0.06445,-1.2595,-1.1603,-0.0076
3311692063,-0.01489,-1.00989,0.01746,-7.8550,-3.9160,-1.0687,0.53308,-0.86255,0.06555,-1.2214,-1.2290,0.0076
3311693068,-0.02002,-0.98096,0.01306,-7.8397,-3.7634,-1.3359,0.53333,-0.86206,0.06677,-1.1756,-1.2977,0.0534
3311694067,-0.02344,-0.95105,0.02087,-7.6947,-3.5344,-1.3588,0.53345,-0.86218,0.06763,-1.1450,-1.3206,0.0992
3311695067,-0.02307,-0.94849,0.02893,-7.7099,-3.4580,-0.9771,0.53333,-0.86292,0.06873,-1.1298,-1.3359,0.1374
3311696066,-0.01648,-0.97498,0.03333,-7.9008,-3.4733,-0.4809,0.53357,-0.86377,0.06958,-1.0992,-1.3588,0.1450
3311697066,-0.01013,-1.00769,0.03564,-8.1603,-3.5038,-0.2519,0.53430,-0.86438,0.06860,-1.0611,-1.4046,0.1450
3311698066,-0.01025,-1.02002,0.03357,-8.2137,-3.5115,-0.3740,0.53528,-0.86438,0.06787,-1.0153,-1.4427,0.1603
3311699066,-0.01746,-1.00903,0.02783,-8.0229,-3.5267,-0.6260,0.53589,-0.86548,0.06677,-0.9466,-1.5038,0.1603
3311700066,-0.02380,-0.99121,0.02197,-7.9084,-3.5115,-0.7099,0.53625,-0.86755,0.06409,-0.8931,-1.5649,0.1832
3311701066,-0.02612,-0.98853,0.02002,-8.0534,-3.4733,-0.5496,0.53650,-0.86902,0.06165,-0.8626,-1.6107,0.2061
3311702066,-0.02271,-0.99561,0.02808,-8.2290,-3.3817,-0.4504,0.53613,-0.86951,0.06067,-0.8397,-1.6641,0.2290
3311703066,-0.01282,-1.00867,0.03650,-8.0382,-3.3740,-0.5267,0.53552,-0.87036,0.06079,-0.8168,-1.7099,0.2366
3311704063,-0.00867,-1.02344,0.03906,-7.6107,-3.4275,-0.7405,0.53516,-0.87158,0.06079,-0.7710,-1.7405,0.2290
3311705064,-0.01135,-1.01904,0.03247,-7.4046,-3.5191,-1.0611,0.53503,-0.87268,0.06018,-0.7099,-1.7786,0.2290
3311706064,-0.01648,-0.98792,0.02637,-7.5115,-3.5191,-1.3206,0.53430,-0.87439,0.05884,-0.6870,-1.8473,0.2595
3311707064,-0.01819,-0.95752,0.03125,-7.7481,-3.5115,-1.2137,0.53394,-0.87549,0.05725,-0.6565,-1.9084,0.3053
3311708064,-0.01489,-0.96313,0.03748,-7.8550,-3.5573,-0.7634,0.53394,-0.87561,0.05591,-0.6336,-1.9618,0.3359
3311709064,-0.01099,-0.98682,0.03613,-7.8702,-3.6260,-0.4733,0.53418,-0.87634,0.05591,-0.6107,-1.9924,0.3511
3311710068,-0.00964,-1.00037,0.02832,-7.7863,-3.5649,-0.4733,0.53491,-0.87805,0.05591,-0.5954,-1.9847,0.3740
3311711067,-0.01331,-1.00183,0.03210,-7.7023,-3.3817,-0.5573,0.53516,-0.88025,0.05518,-0.5954,-1.9924,0.4122
3311712067,-0.01880,-0.99927,0.02832,-7.7557,-3.3893,-0.5496,0.53479,-0.88171,0.05542,-0.6031,-2.0534,0.4427
