t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
3262152066,0.12451,-1.08667,-0.29456,-8.6794,13.7557,0.8015,0.52222,-0.89575,-0.00098,-1.4962,-0.1527,-0.9771
3262153066,0.11743,-1.10815,-0.29651,-9.1374,14.8931,1.0534,0.52197,-0.89624,-0.00256,-1.4580,-0.2214,-0.8855
3262154066,0.12671,-1.13611,-0.26685,-10.0534,16.2214,1.3130,0.52112,-0.89648,-0.00244,-1.4122,-0.2901,-0.8015
3262155067,0.14636,-1.13965,-0.19958,-10.7557,17.4122,1.2595,0.52002,-0.89648,-0.00171,-1.3740,-0.3511,-0.7099
3262156067,0.16516,-1.11914,-0.13892,-10.8626,18.0992,1.0840,0.52075,-0.89563,-0.00134,-1.3053,-0.4122,-0.6260
3262157067,0.18689,-1.11353,-0.09949,-10.7634,18.3282,1.2672,0.52185,-0.89380,-0.00183,-1.2519,-0.4809,-0.5725
3262158066,0.21777,-1.14148,-0.04480,-10.7863,18.4198,1.6718,0.52197,-0.89246,-0.00293,-1.2214,-0.5496,-0.5191
3262159066,0.24683,-1.16992,0.01440,-10.8626,18.0153,1.6794,0.52136,-0.89233,-0.00366,-1.1832,-0.6031,-0.4580
3262160066,0.25916,-1.17383,0.04492,-10.9008,17.0458,1.2672,0.52051,-0.89294,-0.00403,-1.1298,-0.6641,-0.4122
3262161067,0.26917,-1.16809,0.06201,-10.8779,15.8702,0.8244,0.52063,-0.89258,-0.00342,-1.0763,-0.7176,-0.3588
3262162066,0.28296,-1.17041,0.09106,-10.6565,14.7405,0.4580,0.52087,-0.89087,-0.00220,-1.0382,-0.7710,-0.3282
3262163066,0.29016,-1.17859,0.11841,-10.4504,13.4198,0.0458,0.52087,-0.88940,-0.00098,-1.0000,-0.8397,-0.3588
3262164067,0.29175,-1.18750,0.12134,-10.4733,11.9542,-0.4046,0.52112,-0.88965,-0.00061,-0.9771,-0.9160,-0.4046
3262165066,0.29590,-1.19812,0.12988,-10.5725,10.7481,-0.8702,0.52173,-0.88965,-0.00049,-0.9771,-0.9695,-0.4198
3262166066,0.31604,-1.21130,0.17041,-10.5954,9.8244,-1.3282,0.52222,-0.88928,-0.00110,-0.9847,-0.9847,-0.4504
3262167066,0.33936,-1.21924,0.20215,-10.7405,8.4809,-1.7786,0.52222,-0.88879,-0.00269,-0.9924,-0.9924,-0.4885
3262168066,0.33691,-1.21240,0.16516,-11.0229,6.3511,-2.2366,0.52307,-0.88770,-0.00403,-1.0229,-1.0229,-0.5115
3262169066,0.31421,-1.19922,0.09558,-11.1832,4.3435,-2.6107,0.52441,-0.88647,-0.00464,-1.0534,-1.0992,-0.5191
3262170067,0.30127,-1.18848,0.06470,-11.3282,2.9542,-2.8626,0.52527,-0.88574,-0.00513,-1.1069,-1.1450,-0.5344
3262171067,0.29468,-1.16052,0.06958,-11.6794,1.7863,-3.1756,0.52551,-0.88477,-0.00500,-1.1679,-1.1756,-0.5573
3262172066,0.27795,-1.10913,0.06030,-11.9924,0.4427,-3.5496,0.52527,-0.88391,-0.00403,-1.2366,-1.2137,-0.5878
3262173066,0.25598,-1.07556,0.02136,-12.1832,-0.6794,-3.5878,0.52539,-0.88403,-0.00330,-1.3053,-1.2595,-0.6260
3262174066,0.24731,-1.08887,-0.00073,-12.7176,-1.0229,-3.1679,0.52588,-0.88428,-0.00366,-1.3740,-1.2748,-0.6412
3262175066,0.25830,-1.12537,0.00427,-13.5954,-0.9924,-2.8321,0.52625,-0.88416,-0.00330,-1.4504,-1.2748,-0.6641
3262176067,0.26099,-1.15259,-0.00659,-14.1298,-1.3206,-2.9160,0.52576,-0.88416,-0.00305,-1.5267,-1.2977,-0.7023
3262177066,0.25098,-1.15906,-0.03015,-14.1527,-1.8015,-3.2214,0.52515,-0.88477,-0.00415,-1.6260,-1.3359,-0.7405
3262178066,0.24915,-1.15161,-0.03491,-13.9542,-2.2366,-3.4809,0.52478,-0.88525,-0.00452,-1.7405,-1.3740,-0.7557
3262179066,0.24133,-1.14307,-0.03516,-13.7557,-2.9618,-3.6412,0.52478,-0.88550,-0.00452,-1.8702,-1.3664,-0.7481
3262180064,0.21948,-1.13904,-0.06079,-13.8397,-3.9924,-3.7176,0.52429,-0.88623,-0.00659,-2.0000,-1.3588,-0.7405
3262181068,0.20703,-1.14392,-0.09497,-14.2366,-4.7099,-3.7328,0.52332,-0.88684,-0.00793,-2.1298,-1.3664,-0.7252
3262182067,0.21033,-1.16431,-0.09424,-14.5420,-4.6870,-3.7557,0.52368,-0.88696,-0.00708,-2.2672,-1.3893,-0.7328
3262183066,0.21765,-1.20117,-0.07068,-14.6336,-4.4046,-3.8473,0.52576,-0.88647,-0.00659,-2.3893,-1.4198,-0.7328
3262184066,0.21533,-1.23254,-0.07239,-14.9160,-4.3817,-4.1298,0.52698,-0.88525,-0.00610,-2.4962,-1.4427,-0.7176
3262185066,0.19543,-1.24402,-0.11023,-15.4962,-4.5267,-4.5191,0.52661,-0.88477,-0.00525,-2.6183,-1.4580,-0.6718
3262186066,0.17712,-1.25427,-0.14294,-15.9389,-4.3740,-4.8702,0.52625,-0.88538,-0.00476,-2.7405,-1.4580,-0.6489
3262187064,0.17749,-1.28015,-0.14294,-16.2290,-4.0611,-5.1756,0.52673,-0.88635,-0.00488,-2.8550,-1.4580,-0.6412
3262188067,0.18250,-1.31018,-0.13342,-16.7557,-4.0687,-5.5954,0.52795,-0.88696,-0.00574,-2.9542,-1.4733,-0.6412
3262189067,0.18152,-1.33496,-0.14490,-17.5878,-4.3588,-6.0992,0.52869,-0.88733,-0.00562,-3.0458,-1.4733,-0.6641
3262190067,0.17798,-1.34778,-0.15869,-18.6183,-4.2977,-6.6947,0.52844,-0.88782,-0.00525,-3.1069,-1.4580,-0.6718
3262191067,0.17175,-1.32996,-0.14783,-19.9084,-3.7710,-7.4198,0.52917,-0.88806,-0.00500,-3.1832,-1.4046,-0.6794
3262192067,0.16235,-1.26611,-0.12439,-21.2672,-3.0687,-8.2137,0.53064,-0.88806,-0.00330,-3.2748,-1.3435,-0.6565
3262193067,0.15442,-1.16956,-0.10596,-22.2214,-2.4733,-8.8702,0.53149,-0.88904,-0.00281,-3.3740,-1.2901,-0.6336
3262194066,0.14856,-1.07947,-0.09607,-22.3053,-2.0687,-9.2366,0.53162,-0.88977,-0.00439,-3.4427,-1.2443,-0.6031
3262195064,0.15149,-1.03223,-0.09192,-21.3969,-2.0076,-9.2977,0.53210,-0.89014,-0.00549,-3.4885,-1.1756,-0.5878
3262196067,0.16467,-1.04395,-0.09692,-19.7863,-2.3359,-9.2366,0.53247,-0.89087,-0.00574,-3.5267,-1.0992,-0.5496
3262197067,0.17798,-1.08740,-0.09705,-17.9542,-2.8550,-9.3893,0.53259,-0.89185,-0.00574,-3.5573,-1.0153,-0.5191
3262198067,0.18384,-1.10669,-0.08887,-16.1985,-3.4046,-9.9847,0.53308,-0.89282,-0.00537,-3.5802,-0.9160,-0.4733
3262199067,0.17859,-1.07788,-0.08606,-14.6947,-3.8855,-10.7328,0.53406,-0.89368,-0.00391,-3.6107,-0.8397,-0.4351
3262200067,0.16699,-1.02039,-0.09924,-13.7557,-4.1221,-11.1908,0.53442,-0.89453,-0.00085,-3.6412,-0.7710,-0.3893
3262201066,0.15405,-0.95728,-0.12073,-13.4809,-3.9466,-11.2137,0.53430,-0.89490,0.00085,-3.6412,-0.6794,-0.3206
3262202066,0.14563,-0.91211,-0.13550,-13.6489,-3.3817,-10.8702,0.53418,-0.89490,0.00049,-3.6260,-0.5573,-0.2748
3262203066,0.15076,-0.91528,-0.13806,-14.0153,-2.7023,-10.1679,0.53430,-0.89514,0.00024,-3.6183,-0.4351,-0.2366
3262204066,0.16333,-0.96484,-0.12512,-14.4275,-2.1756,-9.4809,0.53503,-0.89526,0.00098,-3.6260,-0.3206,-0.2214
3262205066,0.17749,-1.00269,-0.10852,-14.7557,-1.9466,-9.3359,0.53503,-0.89539,0.00208,-3.5954,-0.2214,-0.2214
3262206066,0.18579,-0.98914,-0.08923,-14.7557,-1.9847,-9.5802,0.53442,-0.89624,0.00269,-3.5496,-0.0992,-0.2290
3262207066,0.18335,-0.95068,-0.05920,-14.4198,-2.3130,-9.6183,0.53394,-0.89673,0.00220,-3.5191,0.0229,-0.2214
3262208066,0.17944,-0.93152,-0.04468,-13.9695,-3.0076,-9.1450,0.53357,-0.89661,0.00159,-3.5038,0.1374,-0.2137
3262209066,0.18176,-0.95300,-0.05542,-13.5267,-3.7710,-8.3359,0.53369,-0.89587,0.00159,-3.4733,0.2519,-0.2214
3262210067,0.19299,-1.01648,-0.06812,-13.0076,-4.1985,-7.5802,0.53394,-0.89526,0.00195,-3.4351,0.3893,-0.2519
3262211066,0.21582,-1.08728,-0.07397,-12.3664,-4.2824,-7.4198,0.53430,-0.89539,0.00281,-3.3817,0.5344,-0.2901
3262212066,0.23047,-1.10962,-0.08386,-11.8397,-4.3206,-8.0458,0.53381,-0.89587,0.00366,-3.3282,0.6794,-0.3130
3262213066,0.21436,-1.06030,-0.08044,-11.8855,-4.3435,-9.0305,0.53381,-0.89734,0.00452,-3.2901,0.8397,-0.3282
3262214063,0.18958,-0.96143,-0.07886,-12.9237,-4.5420,-9.6794,0.53516,-0.89832,0.00452,-3.2290,0.9847,-0.3206
3262215067,0.17871,-0.87207,-0.08337,-14.1374,-4.8244,-9.6183,0.53491,-0.89771,0.00403,-3.1603,1.1374,-0.3359
3262216067,0.18579,-0.84949,-0.08789,-14.2901,-5.1221,-9.1679,0.53333,-0.89685,0.00391,-3.0916,1.2519,-0.3664
3262217066,0.20300,-0.89465,-0.10706,-13.2672,-5.4733,-8.9008,0.53284,-0.89709,0.00342,-2.9924,1.3588,-0.4198
3262218067,0.21106,-0.94666,-0.12830,-12.4198,-5.8626,-8.9924,0.53308,-0.89709,0.00293,-2.8855,1.4962,-0.4504
3262219066,0.20117,-0.94629,-0.13940,-12.8168,-6.2061,-9.1298,0.53259,-0.89697,0.00330,-2.7863,1.5878,-0.4962
3262220066,0.17883,-0.89111,-0.13940,-14.0229,-6.4427,-8.8931,0.53235,-0.89722,0.00403,-2.7328,1.6412,-0.5496
3262221066,0.16150,-0.81909,-0.14636,-14.9771,-6.4885,-8.1221,0.53174,-0.89771,0.00513,-2.7099,1.7023,-0.6183
3262222066,0.15894,-0.77271,-0.16150,-14.9160,-6.2672,-7.0611,0.53162,-0.89832,0.00549,-2.6641,1.7634,-0.6947
3262223066,0.16528,-0.77747,-0.17798,-14.1298,-5.8931,-6.0840,0.53137,-0.89917,0.00537,-2.6183,1.8397,-0.7557
3262224066,0.17712,-0.82031,-0.17896,-13.6107,-5.4809,-5.3588,0.53015,-0.89941,0.00574,-2.5573,1.9008,-0.7939
3262225067,0.18774,-0.85461,-0.16455,-13.9084,-5.4046,-5.0534,0.52905,-0.89917,0.00659,-2.5267,1.9466,-0.8168
3262226066,0.19263,-0.85901,-0.14856,-14.3359,-5.5496,-5.1221,0.52783,-0.89929,0.00635,-2.4885,1.9847,-0.8397
3262227066,0.20032,-0.85474,-0.13123,-13.9313,-5.7023,-5.3588,0.52722,-0.89893,0.00476,-2.4656,2.0076,-0.8321
3262228066,0.20178,-0.85413,-0.13098,-12.7023,-5.9771,-5.6489,0.52673,-0.89844,0.00378,-2.4809,2.0153,-0.7939
3262229066,0.19043,-0.85730,-0.15906,-11.3740,-6.3435,-5.9008,0.52649,-0.89868,0.00366,-2.4809,2.0534,-0.7863
3262230066,0.18433,-0.88660,-0.18860,-10.6870,-6.5038,-5.7634,0.52734,-0.89856,0.00354,-2.4733,2.0687,-0.8244
3262231066,0.19482,-0.94824,-0.19299,-10.8855,-6.4351,-5.2672,0.52710,-0.89856,0.00305,-2.4656,2.0534,-0.8473
3262232066,0.20044,-0.99011,-0.19189,-11.6947,-6.4198,-5.0458,0.52600,-0.89868,0.00391,-2.4809,2.0382,-0.8168
3262233066,0.18433,-0.97534,-0.19128,-12.4656,-6.3435,-5.1985,0.52515,-0.89832,0.00549,-2.5267,2.0229,-0.7939
3262234066,0.16272,-0.93042,-0.19788,-13.1908,-6.2137,-5.1374,0.52307,-0.89783,0.00610,-2.6031,1.9160,-0.7481
3262235066,0.14868,-0.90100,-0.20703,-14.0229,-6.0153,-4.5802,0.52271,-0.89795,0.00439,-2.5649,1.8702,-0.7023
3262236066,0.14783,-0.90894,-0.21167,-14.7099,-5.8321,-3.8321,0.52319,-0.89758,0.00232,-2.5344,1.8550,-0.6870
3262237066,0.16431,-0.97717,-0.21313,-15.2519,-5.4427,-3.2824,0.52356,-0.89734,0.00085,-2.5420,1.8321,-0.6870
3262238067,0.17249,-0.99365,-0.18982,-15.5420,-5.0916,-3.4122,0.52490,-0.89709,-0.00037,-2.5649,1.7863,-0.6947
3262239067,0.18042,-1.00134,-0.17297,-15.7710,-4.9313,-3.5115,0.52612,-0.89758,-0.00061,-2.5878,1.7023,-0.7176
3262240067,0.18176,-0.99915,-0.18323,-16.0763,-4.9389,-3.6183,0.52612,-0.89734,-0.00024,-2.5878,1.6260,-0.7252
3262241066,0.18359,-0.97424,-0.19421,-16.5878,-4.7863,-3.8321,0.52600,-0.89587,0.00012,-2.5725,1.5420,-0.7099
3262242066,0.18909,-0.93774,-0.18347,-17.1603,-4.5420,-3.9313,0.52625,-0.89551,0.00085,-2.5496,1.4580,-0.7023
3262243066,0.19861,-0.92688,-0.16260,-17.6260,-4.4962,-3.7328,0.52698,-0.89600,0.00220,-2.5267,1.3969,-0.7252
3262244066,0.21399,-0.94971,-0.14709,-17.8321,-4.7099,-3.5496,0.52771,-0.89587,0.00342,-2.5267,1.3435,-0.7405
3262245064,0.22913,-0.96277,-0.13159,-17.7023,-4.8855,-3.9008,0.52820,-0.89563,0.00281,-2.5344,1.2519,-0.7634
3262246067,0.22949,-0.92590,-0.11597,-17.2061,-5.0534,-4.7939,0.52832,-0.89587,0.00195,-2.5496,1.1450,-0.7939
3262247067,0.21436,-0.85266,-0.11963,-16.4580,-5.4198,-5.6183,0.52747,-0.89673,0.00232,-2.5725,1.0305,-0.8321
3262248066,0.19727,-0.78662,-0.14807,-15.5420,-5.8702,-5.9008,0.52649,-0.89697,0.00220,-2.5802,0.9313,-0.8626
3262249066,0.18652,-0.76062,-0.17993,-14.3282,-6.0916,-5.7481,0.52576,-0.89600,0.00122,-2.5649,0.8626,-0.9008
3262250066,0.18372,-0.76599,-0.20081,-12.8321,-6.0382,-5.5802,0.52515,-0.89502,0.00110,-2.5725,0.7863,-0.9389
3262251063,0.17944,-0.75745,-0.21338,-11.3435,-5.9237,-5.6794,0.52490,-0.89453,0.00232,-2.6031,0.6947,-0.9542
3262252068,0.15759,-0.70825,-0.22644,-10.2901,-5.8626,-5.8015,0.52515,-0.89502,0.00317,-2.6336,0.5878,-0.9847
3262253066,0.13159,-0.64978,-0.24023,-9.8473,-5.6718,-5.2748,0.52588,-0.89661,0.00330,-2.6565,0.4962,-1.0076
3262254067,0.12366,-0.64038,-0.24622,-9.8092,-5.2214,-3.8550,0.52686,-0.89819,0.00342,-2.7023,0.4046,-1.0687
3262255066,0.13184,-0.68921,-0.24609,-9.7939,-4.7099,-2.2519,0.52734,-0.89917,0.00342,-2.7176,0.3282,-1.1298
3262256066,0.13733,-0.74182,-0.25732,-9.7099,-4.2748,-1.2901,0.52820,-0.90027,0.00305,-2.7099,0.2519,-1.1756
3262257067,0.12939,-0.75525,-0.26624,-9.6947,-3.7328,-0.9237,0.52881,-0.90027,0.00220,-2.7252,0.1756,-1.2214
3262258066,0.12439,-0.74451,-0.25073,-9.9847,-3.0534,-0.5115,0.52832,-0.90027,0.00232,-2.7252,0.0992,-1.2672
3262259064,0.13611,-0.75537,-0.22034,-10.5496,-2.4962,0.3206,0.52881,-0.90137,0.00342,-2.7328,0.0458,-1.2977
3262260064,0.15479,-0.79199,-0.20105,-11.2061,-2.2824,1.0763,0.52954,-0.90271,0.00464,-2.7481,-0.0076,-1.3435
3262261063,0.16724,-0.80725,-0.19055,-11.6031,-2.1145,1.1450,0.52905,-0.90430,0.00513,-2.7634,-0.0458,-1.4122
