t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
369431069,-0.26147,-1.04285,0.09570,-14.0840,-2.1069,2.7176,0.62817,-0.80847,0.19104,-4.2748,2.8779,3.3130
369432068,-0.24902,-0.99915,0.12708,-13.0000,-2.7023,1.9160,0.62903,-0.80774,0.19250,-4.2748,2.7863,3.3130
369433068,-0.23462,-0.98242,0.14221,-11.3817,-3.3435,1.2977,0.63049,-0.80859,0.19397,-4.2824,2.7023,3.3053
369434067,-0.23328,-0.96216,0.12720,-9.8015,-4.0840,0.7252,0.63135,-0.80981,0.19336,-4.3130,2.6565,3.3053
369435067,-0.24292,-0.91626,0.09448,-8.8168,-4.7023,0.3893,0.63208,-0.81030,0.19189,-4.3511,2.6031,3.3282
369436067,-0.25293,-0.88135,0.06787,-8.7557,-5.2748,0.8397,0.63293,-0.81006,0.19153,-4.3511,2.5191,3.3664
369437067,-0.26929,-0.90088,0.05115,-9.7328,-5.8702,2.0840,0.63269,-0.81091,0.19153,-4.3664,2.4275,3.3969
369438067,-0.28027,-0.94922,0.04956,-11.4962,-5.9084,3.4275,0.63257,-0.81238,0.19092,-4.3817,2.3511,3.4275
369439067,-0.28821,-0.97925,0.04797,-13.6947,-5.4198,4.4122,0.63379,-0.81360,0.19031,-4.3893,2.3130,3.4733
369440067,-0.29919,-0.98145,0.03711,-16.1374,-4.5115,5.1374,0.63428,-0.81555,0.19067,-4.3893,2.2748,3.5038
369441067,-0.29871,-0.97107,0.03247,-18.3969,-3.3969,5.7710,0.63403,-0.81738,0.19055,-4.3817,2.2290,3.5649
369442067,-0.29077,-0.97449,0.03882,-20.1756,-2.5954,6.3511,0.63452,-0.81848,0.18909,-4.3511,2.1908,3.6336
369443067,-0.28064,-0.99866,0.06470,-21.6183,-2.1145,6.7252,0.63562,-0.81848,0.18787,-4.3206,2.1450,3.6794
369444068,-0.26318,-1.01733,0.10962,-22.7939,-1.7481,6.7099,0.63660,-0.81836,0.18787,-4.3130,2.0840,3.7176
369445068,-0.24890,-1.00305,0.15259,-23.6489,-1.6260,6.4275,0.63696,-0.81860,0.18823,-4.3435,2.0000,3.7634
369446067,-0.24182,-0.96936,0.18250,-24.4580,-1.6870,6.3130,0.63733,-0.81812,0.18787,-4.3511,1.9389,3.7863
369447067,-0.23633,-0.95215,0.20129,-25.3282,-1.9466,6.6336,0.63806,-0.81812,0.18811,-4.3206,1.8855,3.7939
369448067,-0.23645,-0.96228,0.20715,-26.3664,-2.5115,7.2748,0.63794,-0.81848,0.19043,-4.3053,1.8244,3.8092
369449067,-0.23938,-0.97876,0.20654,-27.6947,-3.3664,7.9618,0.63684,-0.81873,0.19312,-4.3130,1.7405,3.8168
369450067,-0.23743,-0.97791,0.21167,-29.0840,-4.3588,8.5038,0.63574,-0.81921,0.19470,-4.3588,1.6412,3.8321
369451067,-0.23657,-0.95166,0.22327,-30.1145,-5.4885,8.9084,0.63550,-0.81995,0.19592,-4.3969,1.5496,3.8321
369452067,-0.23987,-0.90564,0.22559,-30.5573,-6.6718,9.2137,0.63611,-0.82056,0.19666,-4.4275,1.4733,3.8168
369453067,-0.24353,-0.86792,0.18701,-29.7328,-8.0534,9.2901,0.63672,-0.82117,0.19702,-4.4580,1.3817,3.7710
369454067,-0.26208,-0.86426,0.11255,-27.2061,-9.5802,8.9008,0.63696,-0.82214,0.19690,-4.4809,1.2672,3.6947
369455068,-0.28760,-0.90063,0.05481,-24.0763,-10.5802,8.1679,0.63745,-0.82288,0.19678,-4.5115,1.1527,3.5954
369456067,-0.29993,-0.96472,0.02832,-21.9771,-10.6947,7.3664,0.63806,-0.82300,0.19714,-4.5725,1.0687,3.4809
369457067,-0.31262,-1.01550,0.00244,-20.9008,-10.2137,6.3817,0.63757,-0.82312,0.19714,-4.6489,0.9771,3.3893
369458067,-0.32947,-1.01428,-0.03259,-19.6260,-9.1603,5.0534,0.63696,-0.82239,0.19604,-4.7328,0.8931,3.2901
369459067,-0.34033,-0.96191,-0.07178,-18.0992,-7.7634,3.8168,0.63599,-0.82251,0.19543,-4.7786,0.7786,3.2137
369460064,-0.34851,-0.90247,-0.10999,-17.7710,-6.2595,3.4656,0.63525,-0.82336,0.19629,-4.7710,0.6641,3.1298
369461069,-0.35242,-0.88428,-0.12329,-19.3053,-4.6031,4.1985,0.63550,-0.82288,0.19678,-4.7634,0.5649,3.0153
369462068,-0.34412,-0.91724,-0.09827,-21.6031,-3.0000,5.3740,0.63489,-0.82166,0.19714,-4.7481,0.4504,2.8397
369463067,-0.33057,-0.96216,-0.05383,-23.5115,-1.8168,6.2366,0.63367,-0.82141,0.19800,-4.7176,0.3359,2.6641
369464067,-0.31506,-0.96667,-0.01001,-24.7863,-0.9847,6.5725,0.63330,-0.82141,0.19763,-4.6489,0.2519,2.4733
369465065,-0.29358,-0.92371,0.03381,-25.7328,-0.4733,6.7634,0.63281,-0.82092,0.19666,-4.5420,0.1832,2.2824
369466069,-0.27087,-0.86877,0.07861,-26.5649,-0.3893,7.2061,0.63257,-0.82080,0.19580,-4.4198,0.1298,2.0687
369467068,-0.25049,-0.84021,0.11877,-26.8702,-0.8397,7.8168,0.63281,-0.82056,0.19531,-4.3130,0.0916,1.8550
369468067,-0.23877,-0.84961,0.14746,-26.2061,-1.7939,8.2519,0.63318,-0.81982,0.19507,-4.2290,0.0763,1.6565
369469068,-0.23169,-0.90332,0.17383,-24.6031,-3.7252,8.1985,0.63391,-0.81934,0.19592,-4.1298,0.0687,1.4962
369470068,-0.23608,-0.91187,0.18201,-24.8244,-4.3588,8.1756,0.63501,-0.81885,0.19641,-3.9924,0.0534,1.3511
369471067,-0.23657,-0.91895,0.19836,-25.4504,-4.7252,8.4198,0.63586,-0.81812,0.19495,-3.8626,0.0229,1.2137
369472067,-0.23975,-0.93079,0.20728,-26.0916,-5.0763,8.7863,0.63574,-0.81763,0.19446,-3.7481,-0.0229,1.0763
369473068,-0.24573,-0.93311,0.19946,-26.6107,-5.3588,9.0382,0.63452,-0.81799,0.19482,-3.6336,-0.0611,0.9466
369474067,-0.25342,-0.91687,0.18018,-27.0458,-5.7634,9.2214,0.63269,-0.81775,0.19482,-3.5344,-0.0916,0.8397
369475067,-0.26428,-0.90381,0.15430,-27.2824,-6.4733,9.5191,0.63159,-0.81604,0.19519,-3.4504,-0.0916,0.7405
369476068,-0.26843,-0.91724,0.13037,-26.7252,-7.4122,9.7405,0.63184,-0.81458,0.19495,-3.3740,-0.0992,0.6718
369477068,-0.27698,-0.94336,0.10815,-25.1221,-8.6183,9.5038,0.63135,-0.81360,0.19360,-3.2748,-0.1145,0.6031
369478068,-0.28992,-0.95715,0.07727,-23.4427,-9.6336,8.8855,0.62976,-0.81274,0.19312,-3.1832,-0.1298,0.5496
369479067,-0.29944,-0.94995,0.03870,-22.5573,-10.0763,8.2443,0.62793,-0.81201,0.19214,-3.1221,-0.1679,0.4962
369480067,-0.31152,-0.93225,-0.00586,-21.8855,-10.0229,7.6794,0.62598,-0.81116,0.18994,-3.0763,-0.2214,0.4809
369481067,-0.32336,-0.92456,-0.04993,-20.4427,-9.5954,7.1069,0.62463,-0.81079,0.18823,-3.0305,-0.2443,0.4733
369482067,-0.33325,-0.94226,-0.08264,-18.3893,-8.9618,6.4962,0.62439,-0.81140,0.18713,-2.9771,-0.2366,0.4427
369483067,-0.34216,-0.97070,-0.10474,-16.7557,-8.0382,5.8550,0.62402,-0.81250,0.18689,-2.9466,-0.2443,0.4351
369484064,-0.34668,-0.97424,-0.11902,-15.9618,-6.7634,5.1221,0.62256,-0.81274,0.18799,-2.9160,-0.2824,0.4656
369485065,-0.34814,-0.94751,-0.12427,-15.0534,-5.5115,4.3053,0.62134,-0.81238,0.18921,-2.8779,-0.3282,0.5115
369486069,-0.34631,-0.92334,-0.11987,-12.9847,-4.6947,3.4733,0.62122,-0.81287,0.18848,-2.8702,-0.3817,0.5344
369487067,-0.34302,-0.92908,-0.11255,-10.1298,-4.4046,2.6565,0.62061,-0.81372,0.18689,-2.8855,-0.4504,0.5878
369488068,-0.34412,-0.95544,-0.11121,-7.6870,-4.3435,1.8931,0.61914,-0.81335,0.18591,-2.8855,-0.5115,0.6718
369489068,-0.34583,-0.97656,-0.11096,-6.2977,-4.1679,1.1603,0.61841,-0.81287,0.18542,-2.8855,-0.5802,0.7557
369490067,-0.34326,-0.97632,-0.09900,-5.5191,-3.7634,0.4351,0.61865,-0.81287,0.18506,-2.9084,-0.6107,0.8550
