t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
646040068,-0.66895,-2.00000,0.67554,14.6412,-3.7405,20.8550,0.45776,-0.89807,0.11511,-4.9160,0.8015,-3.0763
646041068,-0.75684,-2.00000,0.96130,7.2977,0.6107,15.3359,0.45837,-0.89722,0.11560,-5.0305,0.7786,-3.0382
646042067,-0.58191,-2.00000,1.21094,-2.7634,11.9847,-5.6718,0.45789,-0.89661,0.11621,-5.1145,0.7710,-2.9924
646043067,-0.30786,-2.00000,1.36230,-17.1069,21.0305,-28.1527,0.45605,-0.89661,0.11780,-5.2137,0.7557,-2.9237
646044068,-0.03345,-1.78369,1.43921,-38.0382,18.9618,-35.6031,0.45447,-0.89697,0.12012,-5.3282,0.7328,-2.8550
646045067,0.24695,-1.39734,1.57617,-54.5038,1.9771,-31.7252,0.45459,-0.89709,0.12280,-5.4427,0.6870,-2.7786
646046068,0.25842,-2.00000,1.63318,-55.5802,-27.8473,-31.4198,0.45593,-0.89709,0.12427,-5.5649,0.6336,-2.6870
646047068,0.10107,-2.00000,1.57751,-46.4351,-56.0305,-41.4656,0.45642,-0.89697,0.12451,-5.6870,0.5573,-2.6336
646048067,-0.04333,-2.00000,1.47754,-39.2366,-73.0305,-55.9618,0.45728,-0.89709,0.12561,-5.7863,0.4733,-2.5649
646049068,-0.24500,-2.00000,1.18311,-33.6565,-80.0305,-66.0458,0.45874,-0.89771,0.12769,-5.8321,0.4122,-2.4962
646050068,-0.40125,-1.52271,0.60181,-24.5115,-80.2214,-69.9618,0.45996,-0.89893,0.12915,-5.8626,0.3740,-2.4275
646051068,-0.47522,-0.30676,-0.06360,-16.3664,-75.5038,-70.4580,0.46045,-0.90051,0.12976,-5.8779,0.3206,-2.3588
646052068,-0.52893,0.75708,-0.51709,-15.6183,-67.0534,-65.2443,0.45996,-0.90161,0.12952,-5.8626,0.2748,-2.2672
646053068,-0.61084,1.17834,-0.87744,-23.3282,-59.9466,-52.0611,0.45984,-0.90344,0.12805,-5.8397,0.2137,-2.1603
646054068,-0.84192,0.98071,-1.60999,-38.7328,-61.8702,-33.3969,0.46008,-0.90613,0.12610,-5.8473,0.1679,-2.0611
646055068,-1.12854,0.58875,-2.00000,-53.7405,-61.8168,-17.2214,0.45959,-0.90820,0.12537,-5.8473,0.1603,-1.9847
646056068,-1.20898,0.63086,-2.00000,-56.3282,-48.7939,-9.2137,0.45923,-0.90942,0.12549,-5.8015,0.1221,-1.9237
646057067,-1.10388,1.20764,-1.78210,-54.6107,-24.2061,-3.1603,0.45874,-0.91016,0.12537,-5.7405,0.0534,-1.8473
646058068,-0.94238,1.67566,-1.57446,-49.7405,1.0229,6.4809,0.45776,-0.91138,0.12500,-5.6870,-0.0076,-1.7557
646059068,-0.91528,1.59717,-1.74329,-30.8092,21.3893,14.4885,0.45728,-0.91272,0.12451,-5.6260,-0.0534,-1.6336
646060067,-0.82288,1.00476,-1.71423,-9.1985,39.6412,19.0840,0.45679,-0.91357,0.12415,-5.5725,-0.1221,-1.5115
646061068,-0.48157,0.31299,-1.15649,-0.3206,54.6718,21.0611,0.45679,-0.91492,0.12427,-5.5038,-0.2290,-1.3817
646062067,-0.39075,-0.50806,-0.43506,8.4504,55.3130,21.8473,0.45764,-0.91687,0.12427,-5.4427,-0.3359,-1.2748
646063067,-0.44324,-1.80042,0.04211,27.7328,45.9618,20.6107,0.45789,-0.91833,0.12354,-5.3893,-0.4351,-1.1908
646064067,-0.28625,-2.00000,0.09863,43.8855,35.2901,13.4504,0.45740,-0.91882,0.12292,-5.3359,-0.5267,-1.1069
646065068,-0.28296,-2.00000,-0.30273,41.6718,25.6489,3.4275,0.45715,-0.91943,0.12280,-5.2672,-0.6412,-1.0153
646066067,-0.32617,-1.07031,-0.26050,24.8092,27.2519,-0.4046,0.45740,-0.92017,0.12244,-5.1603,-0.7328,-0.9237
646067068,-0.06226,-0.88354,0.55078,4.9008,34.2824,3.4198,0.45825,-0.91980,0.12122,-5.0305,-0.7863,-0.8244
646068068,0.03992,-1.44604,1.04529,-8.4427,32.3969,6.2290,0.45959,-0.91907,0.12024,-4.8779,-0.8473,-0.7176
646069068,-0.32117,-2.00000,0.92712,-8.0534,23.0840,3.9618,0.46094,-0.91846,0.12036,-4.7328,-0.8931,-0.6107
646070068,-0.56750,-2.00000,1.16370,1.5115,20.2824,-2.6107,0.46143,-0.91846,0.12134,-4.5573,-0.9084,-0.5344
646071068,-0.32471,-2.00000,1.87781,2.6336,25.1985,-16.3664,0.46240,-0.91882,0.12256,-4.3282,-0.9008,-0.4885
646072068,-0.03955,-2.00000,1.99994,-4.6107,25.8092,-37.1832,0.46423,-0.91931,0.12341,-4.0763,-0.8550,-0.4733
646073068,0.03857,-2.00000,1.47217,-3.6794,15.2748,-57.2137,0.46631,-0.91956,0.12256,-3.8015,-0.7481,-0.4809
646074068,0.26636,-0.10547,0.96399,1.9695,-0.2977,-66.6947,0.46887,-0.91992,0.12134,-3.5038,-0.6031,-0.4733
646075068,0.49158,0.55566,0.80298,-4.5420,-23.3740,-62.2290,0.47119,-0.92078,0.12073,-3.1908,-0.4275,-0.4809
646076067,0.38086,0.30798,0.80151,-19.0687,-48.2748,-52.2366,0.47229,-0.92053,0.12012,-2.8702,-0.2366,-0.5115
646077067,0.20312,-0.02173,0.75513,-29.1221,-66.0611,-44.4046,0.47266,-0.92017,0.11987,-2.5802,-0.0382,-0.5420
646078068,-0.06140,0.17346,0.29297,-32.3206,-76.6412,-38.8092,0.47412,-0.92004,0.12036,-2.3053,0.2061,-0.5802
646079068,-0.46204,0.99731,-0.48743,-20.0229,-75.2595,-32.9847,0.47607,-0.91956,0.12097,-2.0229,0.4733,-0.6412
646080068,-0.73206,1.74097,-1.11047,1.1985,-58.9542,-22.0153,0.47668,-0.91943,0.12085,-1.7634,0.7405,-0.7176
646081068,-0.94641,1.59692,-1.58704,7.9313,-37.6947,-2.1450,0.47681,-0.91882,0.12000,-1.5496,1.0229,-0.7786
646082067,-1.16724,0.67285,-1.94580,2.9618,-13.7176,16.6870,0.47668,-0.91833,0.11902,-1.3664,1.3282,-0.8779
646083068,-1.17725,-0.20862,-1.76257,6.6107,14.4809,22.8855,0.47656,-0.91821,0.11963,-1.1908,1.5954,-0.9924
646084067,-0.94458,-0.71753,-1.06897,10.4962,39.1527,22.2672,0.47559,-0.91797,0.12085,-1.0534,1.8550,-1.1298
646085067,-0.66846,-0.98938,-0.50989,-2.4198,51.7099,24.6870,0.47375,-0.91724,0.12146,-0.9847,2.1069,-1.2595
646086067,-0.45337,-0.93237,-0.35901,-25.6336,53.0076,29.1221,0.47168,-0.91553,0.12097,-0.9847,2.3664,-1.3511
646087068,-0.22522,-0.64758,-0.17090,-45.0611,49.9847,31.6870,0.46924,-0.91357,0.12000,-1.0305,2.5954,-1.4275
