t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
1634684067,0.01990,-1.00208,-0.12219,-8.2061,-3.7176,-0.7786,0.62524,-0.81128,0.02844,-0.7786,0.3817,-1.5344
1634685067,0.02698,-1.00610,-0.10730,-7.8931,-3.8092,-0.9542,0.62415,-0.81274,0.02673,-0.8015,0.4198,-1.5802
1634686067,0.02332,-0.99365,-0.12244,-7.7252,-4.0916,-1.2366,0.62292,-0.81421,0.02393,-0.7786,0.4580,-1.6183
1634687066,0.01733,-0.98523,-0.13574,-7.8244,-4.0382,-1.2290,0.62231,-0.81482,0.02136,-0.7710,0.5115,-1.6412
1634688066,0.01660,-0.98730,-0.14233,-8.0305,-3.9771,-1.0305,0.62207,-0.81433,0.01843,-0.8015,0.5496,-1.6489
1634689063,0.01758,-0.98792,-0.14014,-7.9618,-3.8855,-1.0076,0.62183,-0.81421,0.01489,-0.8397,0.5649,-1.6183
1634690062,0.02368,-0.99036,-0.13110,-7.6489,-3.8473,-0.9924,0.62109,-0.81543,0.01172,-0.8550,0.5725,-1.5802
1634691067,0.02954,-1.00586,-0.12085,-7.4275,-3.8168,-0.8855,0.62024,-0.81604,0.00964,-0.8473,0.5725,-1.5725
1634692067,0.03015,-1.00671,-0.12329,-7.7023,-4.0763,-0.8321,0.61951,-0.81543,0.00720,-0.8321,0.5573,-1.5802
1634693067,0.02234,-0.98401,-0.14355,-8.2366,-4.2214,-0.5115,0.61853,-0.81519,0.00464,-0.8473,0.5267,-1.5649
1634694066,0.02234,-0.99597,-0.13916,-7.8779,-4.1145,-0.4351,0.61804,-0.81458,0.00305,-0.9008,0.4809,-1.5038
1634695066,0.02466,-1.00293,-0.13635,-7.5344,-4.1145,-0.5649,0.61816,-0.81360,0.00208,-0.9847,0.4198,-1.4427
1634696066,0.02588,-1.01160,-0.13354,-7.5954,-4.1450,-0.6031,0.61816,-0.81250,-0.00024,-1.0763,0.3511,-1.4046
1634697066,0.02856,-1.02820,-0.13062,-7.9389,-4.1908,-0.5725,0.61707,-0.81152,-0.00269,-1.1908,0.2824,-1.3893
1634698066,0.02686,-1.03687,-0.13721,-8.0840,-4.2901,-0.7023,0.61646,-0.81079,-0.00391,-1.3511,0.2290,-1.3893
1634699066,0.01746,-1.02222,-0.14539,-7.9084,-4.1603,-1.0916,0.61658,-0.80981,-0.00427,-1.5649,0.1985,-1.3740
1634700064,0.01184,-0.99902,-0.13550,-7.6183,-3.8168,-1.3664,0.61719,-0.80835,-0.00452,-1.7939,0.1679,-1.3664
1634701068,0.01697,-0.98657,-0.11951,-7.5954,-3.6107,-1.3206,0.61804,-0.80701,-0.00549,-2.0305,0.1221,-1.3588
1634702066,0.02014,-0.98657,-0.11523,-7.6794,-3.6947,-1.0992,0.61829,-0.80688,-0.00647,-2.2824,0.0763,-1.3435
1634703066,0.02380,-0.99951,-0.13306,-7.7252,-3.8168,-0.9084,0.61804,-0.80859,-0.00745,-2.5496,0.0305,-1.3130
1634704066,0.02332,-1.01562,-0.13806,-7.7710,-3.7786,-0.8092,0.61829,-0.81104,-0.00854,-2.8168,0.0229,-1.2824
1634705066,0.02234,-1.01514,-0.11572,-7.9313,-3.6870,-0.8397,0.61841,-0.81262,-0.00940,-3.0534,0.0000,-1.2366
1634706066,0.02441,-1.00916,-0.10706,-7.9542,-3.9237,-0.7557,0.61877,-0.81335,-0.01111,-3.2672,-0.0305,-1.1985
1634707066,0.02197,-1.01892,-0.10571,-7.8931,-4.1145,-0.5191,0.61914,-0.81409,-0.01270,-3.4809,-0.0458,-1.1527
1634708064,0.02454,-1.03320,-0.10107,-8.0534,-4.2824,-0.3130,0.62024,-0.81641,-0.01538,-3.6947,-0.0458,-1.1450
1634709068,0.02417,-1.03882,-0.10779,-8.2061,-4.5038,-0.3740,0.62073,-0.81909,-0.01843,-3.9313,0.0000,-1.2214
1634710067,0.02136,-1.03333,-0.12610,-8.1374,-4.6412,-0.5802,0.61890,-0.81787,-0.01868,-4.1832,0.0382,-1.2901
1634711066,0.02258,-1.02197,-0.12061,-7.9847,-4.4427,-0.8550,0.61768,-0.81348,-0.01831,-4.3282,-0.0153,-1.2672
