t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
64573771,0.01355,-0.55505,0.05518,-8.9237,-12.3588,-11.1832,0.45764,-0.86230,0.01782,-24.9847,58.8321,16.1145
64574771,-0.02576,-0.32886,0.04504,-9.0611,-12.5725,-10.6489,0.45642,-0.86353,0.01160,-24.3893,58.1069,15.2977
64575771,-0.02600,-0.31616,0.06348,-7.9008,-12.3588,-7.7328,0.45410,-0.86536,0.00488,-23.7176,57.2519,14.4656
64576771,0.00000,-0.46167,0.09509,-6.2748,-12.0382,-5.2061,0.45264,-0.86719,-0.00098,-23.0076,56.2824,13.6183
64577770,0.02271,-0.56140,0.08459,-5.7786,-12.2672,-4.7023,0.45215,-0.86816,-0.00659,-22.2672,55.2061,12.7481
64578771,0.02686,-0.55371,0.06482,-6.1221,-12.5191,-5.0076,0.45203,-0.86743,-0.01270,-21.5191,54.0153,11.8626
64579770,0.01929,-0.49133,0.08582,-5.8931,-12.6794,-4.7634,0.45203,-0.86572,-0.01770,-20.7634,52.7099,10.9695
64580770,0.00623,-0.39844,0.10840,-4.8626,-13.0000,-4.0000,0.45203,-0.86438,-0.02222,-20.0305,51.3282,10.0916
64581770,-0.00085,-0.32861,0.11584,-3.8092,-13.4275,-2.4046,0.45190,-0.86279,-0.02527,-19.3435,49.8702,9.2519
64582768,0.01172,-0.34399,0.12598,-3.1221,-13.7557,-0.1527,0.45129,-0.86084,-0.02649,-18.7634,48.3511,8.3817
64583771,0.03198,-0.41956,0.12744,-2.2748,-14.3206,1.7557,0.45081,-0.85840,-0.02783,-18.2901,46.7786,7.5115
64584771,0.03906,-0.47424,0.09546,-1.3359,-15.0534,2.5573,0.44897,-0.85498,-0.02905,-17.9160,45.1756,6.6565
64585771,0.03015,-0.47986,0.05603,-0.4122,-15.5115,2.8473,0.44617,-0.85095,-0.03040,-17.6260,43.5191,5.8015
64586770,0.01660,-0.46509,0.04126,0.5115,-15.4962,3.3282,0.44446,-0.84729,-0.03198,-17.4656,41.8092,4.9618
64587771,0.01294,-0.46289,0.04688,1.0763,-15.2672,4.3969,0.44275,-0.84363,-0.03271,-17.4504,40.0840,4.1450
64588771,0.01770,-0.48914,0.05127,0.6794,-14.9847,5.7863,0.44165,-0.84009,-0.03174,-17.5573,38.3511,3.3435
64589771,0.02563,-0.51416,0.04370,-0.2672,-14.7023,6.8779,0.44299,-0.83691,-0.03040,-17.7939,36.5802,2.5344
64590771,0.04907,-0.54553,0.01721,-0.5573,-14.4733,7.5954,0.44580,-0.83350,-0.02905,-18.1145,34.7939,1.7634
64591771,0.06555,-0.60364,0.00098,0.0611,-14.3740,8.0840,0.44727,-0.83057,-0.02771,-18.5191,33.0153,0.9847
64592771,0.05176,-0.60864,0.03308,0.7252,-14.2977,7.6718,0.44812,-0.82812,-0.02710,-19.0153,31.2366,0.2061
64593771,0.01807,-0.48340,0.01819,0.7786,-15.1145,6.5802,0.44946,-0.82483,-0.02820,-19.5725,29.4733,-0.5344
64594771,-0.02527,-0.34363,-0.05859,1.0687,-16.0076,6.6641,0.45129,-0.82166,-0.02966,-20.2061,27.7176,-1.2672
64595771,-0.04871,-0.34021,-0.07959,2.1985,-15.8702,8.4504,0.45374,-0.82019,-0.02991,-20.8855,25.9466,-2.0000
64596770,-0.03003,-0.41809,-0.04260,3.3130,-15.0840,10.0229,0.45605,-0.81934,-0.02856,-21.5954,24.1908,-2.7328
64597770,0.00879,-0.49414,-0.03931,3.7634,-14.6794,10.6870,0.45825,-0.81848,-0.02673,-22.3206,22.4733,-3.4580
64598770,0.02246,-0.56323,-0.06567,3.9695,-14.3435,10.8626,0.46118,-0.81738,-0.02625,-23.0305,20.8015,-4.1832
64599771,0.00098,-0.56238,-0.08215,4.5496,-13.7939,10.2977,0.46484,-0.81702,-0.02686,-23.6718,19.1832,-4.8779
64600771,-0.03174,-0.41821,-0.10303,5.0458,-13.0687,9.1145,0.46887,-0.81726,-0.02783,-24.2824,17.5878,-5.5802
64601770,-0.05432,-0.24805,-0.08923,5.4122,-12.1679,9.3893,0.47351,-0.81812,-0.02893,-24.8168,16.0153,-6.2824
64602770,-0.06409,-0.20032,-0.05994,5.9542,-11.8931,11.5420,0.47937,-0.81934,-0.03015,-25.2824,14.5038,-7.0305
64603770,-0.07227,-0.24536,-0.08752,7.1908,-12.4427,13.8702,0.48572,-0.82019,-0.03271,-25.6489,13.0611,-7.7634
64604770,-0.08459,-0.30933,-0.15784,8.7176,-12.9008,15.4504,0.49158,-0.82056,-0.03662,-25.8855,11.6870,-8.5115
64605770,-0.10669,-0.35925,-0.19470,10.1756,-12.6489,16.7863,0.49670,-0.82092,-0.03943,-26.0000,10.3511,-9.2290
64606771,-0.12952,-0.35864,-0.18848,11.5878,-11.9313,17.9618,0.50171,-0.82190,-0.04028,-25.9847,9.0840,-9.9389
64607770,-0.14563,-0.29614,-0.18713,12.8473,-11.0229,19.2977,0.50720,-0.82349,-0.04285,-25.8855,7.9237,-10.6489
64608770,-0.15686,-0.25928,-0.19690,13.7481,-9.8092,21.5496,0.51208,-0.82556,-0.04700,-25.6718,6.8092,-11.3740
64609770,-0.15234,-0.30505,-0.21057,14.4351,-8.3435,24.3206,0.51599,-0.82751,-0.04907,-25.3435,5.7557,-12.1374
64610770,-0.13098,-0.41174,-0.25537,15.3435,-6.9695,26.5267,0.52026,-0.82898,-0.04968,-24.9160,4.7786,-12.9084
64611770,-0.10156,-0.52454,-0.32324,16.0687,-5.5496,27.7328,0.52466,-0.82971,-0.04871,-24.4046,3.8931,-13.6794
