t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
2420417066,0.03723,-1.02466,-0.13171,-8.3359,-3.6031,-0.5649,0.67493,-0.77136,0.03101,6.5649,0.1679,1.6718
2420418066,0.02942,-1.01831,-0.13953,-8.5725,-3.6870,-0.6412,0.67542,-0.77161,0.02979,6.4962,0.3435,1.8321
2420419066,0.03296,-1.00903,-0.12109,-8.5420,-3.5267,-0.6870,0.67542,-0.77148,0.03064,6.3969,0.4885,2.0458
2420420066,0.03223,-1.00037,-0.11096,-8.3817,-3.5954,-0.7176,0.67566,-0.76978,0.03186,6.2748,0.6260,2.2519
2420421066,0.02649,-0.99768,-0.12390,-8.0382,-3.7786,-0.8092,0.67627,-0.76746,0.03271,6.1145,0.7710,2.4580
2420422066,0.03027,-1.01050,-0.13452,-7.4504,-3.7023,-0.9466,0.67700,-0.76648,0.03210,5.9466,0.8931,2.6489
2420423066,0.03442,-1.02734,-0.14282,-6.9542,-3.6336,-1.1679,0.67676,-0.76648,0.03137,5.8244,1.0000,2.8397
2420424066,0.02979,-1.02246,-0.16211,-6.7023,-3.6489,-1.5420,0.67554,-0.76685,0.03101,5.7023,1.0992,3.0382
2420425066,0.02234,-1.00256,-0.17163,-6.5496,-3.5649,-1.8244,0.67529,-0.76636,0.03198,5.5115,1.1908,3.2214
2420426066,0.01892,-0.99170,-0.16724,-6.6336,-3.3740,-1.7939,0.67542,-0.76514,0.03394,5.2977,1.2748,3.3893
2420427064,0.01526,-0.98560,-0.16736,-7.0382,-3.3817,-1.5420,0.67493,-0.76428,0.03418,5.0840,1.3359,3.5267
2420428064,0.01440,-0.99255,-0.17639,-7.5725,-3.3359,-1.1603,0.67395,-0.76294,0.03320,4.8550,1.3740,3.6565
2420429064,0.02539,-1.01685,-0.17151,-8.0534,-3.0458,-0.7939,0.67334,-0.76221,0.03259,4.5878,1.3740,3.8015
2420430064,0.03027,-1.02515,-0.15417,-8.5878,-2.7786,-0.6794,0.67310,-0.76196,0.03320,4.3053,1.4046,3.9466
2420431068,0.02539,-1.00195,-0.14136,-9.1069,-2.6641,-0.7557,0.67200,-0.76086,0.03357,4.0229,1.4351,4.0534
2420432067,0.02698,-0.97534,-0.12439,-9.3511,-2.4809,-0.6183,0.67065,-0.75952,0.03271,3.6947,1.3969,4.1374
2420433066,0.04004,-0.97571,-0.09387,-9.1145,-2.3893,-0.2672,0.66992,-0.75879,0.03137,3.3206,1.3435,4.2137
2420434066,0.05017,-0.99219,-0.09180,-8.4733,-2.7710,-0.1908,0.66907,-0.75781,0.03113,2.9160,1.3053,4.2595
2420435066,0.04675,-1.00745,-0.12122,-7.5344,-3.3053,-0.4733,0.66943,-0.75769,0.03210,2.5115,1.2748,4.2824
2420436066,0.04419,-1.01270,-0.13440,-6.9542,-3.5420,-0.8473,0.66980,-0.75867,0.03345,2.1069,1.2519,4.2977
2420437063,0.04712,-1.00684,-0.11255,-6.8626,-3.7328,-1.0687,0.66907,-0.75989,0.03442,1.7023,1.2366,4.2977
2420438064,0.04211,-1.01111,-0.11169,-6.7176,-4.2672,-1.1450,0.66797,-0.76074,0.03430,1.3206,1.2290,4.2824
2420439067,0.03333,-1.03503,-0.14099,-6.2366,-4.6107,-1.2519,0.66797,-0.76135,0.03430,0.9771,1.1985,4.2672
2420440067,0.03455,-1.04639,-0.13098,-6.2366,-4.2519,-1.5344,0.66858,-0.76270,0.03479,0.6489,1.1832,4.2290
2420441067,0.03918,-1.02625,-0.09619,-6.8397,-3.8626,-1.7328,0.66846,-0.76477,0.03394,0.3359,1.1679,4.1832
