t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
2442009066,-0.00562,-1.00488,-0.16113,-9.4351,-2.7176,-1.4962,0.69067,-0.76282,0.16174,0.7634,1.4427,-2.0153
2442010066,-0.01001,-0.99548,-0.14758,-8.8244,-2.4122,-1.8550,0.68994,-0.76257,0.16357,0.8168,1.5725,-2.1221
2442011064,-0.01013,-0.98486,-0.13501,-8.5725,-2.2977,-1.9847,0.68933,-0.76294,0.16443,0.9084,1.6947,-2.2519
2442012064,-0.00732,-0.98669,-0.14832,-8.7099,-2.5649,-1.8626,0.68909,-0.76392,0.16492,0.9924,1.8244,-2.3817
2442013067,-0.00159,-1.00574,-0.16321,-8.8244,-2.6794,-1.7099,0.68860,-0.76489,0.16565,1.0611,1.9847,-2.4580
2442014066,0.00293,-1.01819,-0.15442,-8.8779,-2.5115,-1.8550,0.68884,-0.76453,0.16687,1.1298,2.1298,-2.5191
2442015066,-0.00049,-0.98657,-0.13489,-9.0687,-2.4198,-2.2290,0.68884,-0.76367,0.16748,1.1985,2.2443,-2.5573
2442016066,-0.00671,-0.95520,-0.12561,-9.2137,-2.4962,-2.2290,0.68762,-0.76294,0.16699,1.2901,2.3359,-2.6107
2442017066,-0.00867,-0.98486,-0.14233,-9.1527,-2.7939,-1.6107,0.68665,-0.76245,0.16724,1.3817,2.4275,-2.6412
2442018066,-0.00757,-1.02478,-0.15308,-9.4275,-2.8015,-1.2672,0.68616,-0.76257,0.16858,1.4580,2.5038,-2.6718
2442019063,-0.00452,-1.02002,-0.13428,-9.6870,-2.6031,-1.4656,0.68555,-0.76196,0.16943,1.5344,2.5344,-2.7023
2442020067,-0.00317,-1.01453,-0.13013,-9.4351,-2.6641,-1.5649,0.68481,-0.76050,0.16980,1.6031,2.5420,-2.7176
2442021067,-0.00513,-1.02515,-0.13208,-9.0076,-2.7099,-1.5267,0.68347,-0.75903,0.16968,1.6641,2.5649,-2.7252
2442022066,-0.00562,-1.00708,-0.12317,-8.9389,-2.6336,-1.8321,0.68140,-0.75720,0.16907,1.7023,2.6031,-2.7252
2442023066,-0.00378,-0.97620,-0.10938,-9.0687,-2.5344,-2.0229,0.68018,-0.75488,0.16919,1.7099,2.6107,-2.7405
2442024066,0.00098,-0.98376,-0.10449,-9.1832,-2.5573,-1.7863,0.67944,-0.75281,0.16980,1.6870,2.5954,-2.7481
2442025066,0.00574,-1.01318,-0.11902,-9.0611,-2.8092,-1.7557,0.67883,-0.75183,0.17004,1.6336,2.5725,-2.7710
2442026066,0.00745,-1.02734,-0.13611,-8.8855,-2.9466,-2.1527,0.67847,-0.75122,0.17078,1.5802,2.5420,-2.8015
2442027066,0.00354,-1.00562,-0.13049,-9.1985,-2.9084,-2.5802,0.67859,-0.74988,0.17175,1.5115,2.5420,-2.8321
2442028066,-0.00488,-0.96619,-0.10449,-9.7634,-2.9771,-2.6870,0.67822,-0.74780,0.17139,1.4580,2.5420,-2.8626
2442029066,-0.00708,-0.94788,-0.09717,-9.9618,-3.3130,-2.3511,0.67737,-0.74658,0.17078,1.4198,2.5191,-2.9084
2442030063,-0.00427,-0.96704,-0.11902,-9.6183,-3.5878,-1.8626,0.67712,-0.74683,0.16992,1.3511,2.4504,-2.9389
2442031064,-0.00708,-0.97192,-0.12415,-9.2901,-3.4046,-1.8855,0.67676,-0.74768,0.16943,1.2595,2.3817,-2.9847
2442032063,-0.00330,-0.94592,-0.10522,-8.9160,-3.0763,-2.0840,0.67639,-0.74768,0.16956,1.1985,2.3282,-3.0534
2442033068,0.00281,-0.94519,-0.10071,-8.4351,-3.1374,-1.8168,0.67725,-0.74744,0.16931,1.1527,2.3053,-3.1069
2442034067,0.00085,-0.97144,-0.12573,-8.1985,-3.5038,-1.4580,0.67810,-0.74707,0.16895,1.0916,2.2977,-3.1450
2442035067,-0.00183,-0.97913,-0.14954,-8.3511,-3.6565,-1.4885,0.67822,-0.74609,0.16895,0.9924,2.2748,-3.1832
2442036066,-0.00098,-0.96301,-0.14160,-8.5725,-3.5725,-1.5954,0.67834,-0.74597,0.16907,0.8931,2.2214,-3.2443
2442037066,-0.00281,-0.95776,-0.13416,-8.5420,-3.6565,-1.5573,0.67859,-0.74646,0.17017,0.8092,2.1374,-3.2748
2442038067,-0.01013,-0.96716,-0.14209,-8.3588,-3.7939,-1.5420,0.67859,-0.74707,0.17212,0.7099,2.0534,-3.2824
2442039066,-0.00916,-0.97400,-0.14014,-8.6489,-3.6718,-1.4962,0.67810,-0.74780,0.17383,0.6107,1.9618,-3.2748
2442040066,0.00171,-0.98975,-0.11694,-9.4046,-3.4504,-1.2214,0.67773,-0.74854,0.17468,0.5191,1.8626,-3.2824
2442041066,0.00159,-1.00305,-0.12158,-10.0840,-3.6565,-1.1145,0.67773,-0.74963,0.17432,0.4504,1.7557,-3.2748
2442042066,-0.00757,-0.99121,-0.15515,-10.1679,-3.8092,-1.3359,0.67639,-0.75171,0.17456,0.3893,1.6489,-3.2443
2442043063,-0.00806,-0.96411,-0.17065,-10.0229,-3.6183,-1.4885,0.67346,-0.75354,0.17627,0.3206,1.5649,-3.1908
2442044064,-0.00610,-0.95361,-0.15515,-9.9695,-3.4122,-1.2137,0.67175,-0.75464,0.17773,0.2748,1.5191,-3.1679
2442045062,-0.00159,-0.96240,-0.13367,-9.9160,-3.5038,-0.8702,0.67139,-0.75610,0.17749,0.2672,1.4733,-3.1450
2442046065,0.00305,-0.97327,-0.14380,-9.4962,-3.7786,-0.8244,0.67114,-0.75793,0.17688,0.2672,1.3893,-3.1221
