t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
522985067,-0.28760,-0.60730,0.08801,0.2137,14.0840,38.7939,0.53394,-0.85278,0.14551,-1.4427,-3.1450,-0.5802
522986067,-0.28992,-0.62744,0.10706,-0.3664,16.0382,40.5115,0.53394,-0.85327,0.14514,-1.4580,-3.2061,-0.5038
522987068,-0.27283,-0.62219,0.13599,3.0382,17.8702,41.0611,0.53516,-0.85315,0.14441,-1.4733,-3.2519,-0.4198
522988068,-0.23804,-0.88867,0.17212,6.0840,21.2977,42.0687,0.53650,-0.85254,0.14392,-1.4809,-3.2824,-0.3359
522989068,-0.19739,-1.02002,0.26721,9.8931,21.9389,39.5802,0.53699,-0.85205,0.14404,-1.4885,-3.2824,-0.2519
522990068,-0.19153,-1.07666,0.29785,15.9847,20.3282,35.6870,0.53711,-0.85242,0.14490,-1.5115,-3.2672,-0.1679
522991068,-0.21912,-1.10400,0.24780,19.3969,17.5878,32.6031,0.53748,-0.85217,0.14600,-1.5649,-3.2824,-0.0916
522992067,-0.23889,-1.09204,0.19543,17.9084,15.7939,30.9084,0.53833,-0.85193,0.14661,-1.6260,-3.3206,-0.0076
522993068,-0.25256,-1.03088,0.17737,13.6870,14.6107,30.2824,0.53906,-0.85291,0.14697,-1.6718,-3.3740,0.0840
522994068,-0.26489,-0.92285,0.18188,10.4809,13.5802,29.9695,0.53918,-0.85413,0.14746,-1.7023,-3.3817,0.1832
522995068,-0.26306,-0.79822,0.16882,10.9160,12.4122,29.7328,0.53894,-0.85535,0.14771,-1.7328,-3.3817,0.2748
522996067,-0.27319,-0.69800,0.10461,12.9466,11.3130,30.2214,0.53809,-0.85535,0.14844,-1.7710,-3.3740,0.3740
522997067,-0.28455,-0.63416,0.06018,11.9389,11.2595,32.4427,0.53687,-0.85547,0.14966,-1.8092,-3.3588,0.4656
522998067,-0.26086,-0.60461,0.06897,7.8473,12.3969,35.9924,0.53601,-0.85608,0.15039,-1.8397,-3.3435,0.5725
522999068,-0.23999,-0.60681,0.10205,5.9389,13.6565,39.1145,0.53540,-0.85657,0.15088,-1.8397,-3.3435,0.6641
523000068,-0.24182,-0.67114,0.12207,8.5649,14.2366,40.9313,0.53455,-0.85669,0.15027,-1.8244,-3.3435,0.7557
523001068,-0.24219,-0.80444,0.12769,11.8931,14.7176,42.0076,0.53320,-0.85583,0.14941,-1.8244,-3.3206,0.8473
523002067,-0.25293,-0.94727,0.11206,11.4427,15.2366,42.8321,0.53259,-0.85510,0.14978,-1.8321,-3.2824,0.9084
523003068,-0.26221,-1.04529,0.13306,8.3969,16.4275,42.7863,0.53223,-0.85547,0.14966,-1.8550,-3.2748,0.9924
523004067,-0.25281,-1.12378,0.22205,8.0763,17.0763,41.1145,0.53198,-0.85608,0.14905,-1.8779,-3.2595,1.0687
523005068,-0.24963,-1.21313,0.28186,12.7939,15.9389,37.6794,0.53162,-0.85608,0.14880,-1.9084,-3.2290,1.1145
523006068,-0.27380,-1.27258,0.26892,18.5725,13.7405,33.5344,0.53125,-0.85608,0.14966,-1.9237,-3.2366,1.1374
523007068,-0.29639,-1.26636,0.25427,20.1527,12.3511,30.3435,0.53064,-0.85657,0.15149,-1.9389,-3.2901,1.1985
523008067,-0.27881,-1.21313,0.30200,17.5725,12.0458,28.8779,0.52991,-0.85706,0.15186,-1.9847,-3.3511,1.2443
523009068,-0.25195,-1.16077,0.34595,16.1756,10.7710,28.2824,0.52930,-0.85779,0.15173,-2.0153,-3.3893,1.2748
523010068,-0.23950,-1.11011,0.33398,19.6489,8.1908,27.2824,0.52783,-0.85852,0.15295,-2.0153,-3.4198,1.3130
523011067,-0.24414,-1.05212,0.28870,24.7023,5.4962,26.3740,0.52612,-0.85999,0.15393,-2.0076,-3.4504,1.3588
