t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
729964068,-0.85461,-2.00000,-0.89026,61.1985,53.3969,41.4885,0.02905,-0.25391,-1.12244,11.6565,28.6794,-8.7481
729965067,-1.08789,-2.00000,-1.29053,76.1832,36.9008,17.3664,0.03174,-0.25671,-1.11731,11.2672,27.7252,-9.5725
729966068,-0.86133,-2.00000,-0.62537,97.5191,38.6489,-7.8931,0.03259,-0.25867,-1.11292,10.9084,26.7481,-10.2977
729967067,-0.36145,-0.99683,0.38452,93.4046,49.9847,-13.0076,0.03223,-0.25989,-1.10913,10.5878,25.7405,-10.9466
729968067,-0.56287,-0.75598,-0.18982,46.5267,45.4504,9.9847,0.03235,-0.26025,-1.10437,10.2977,24.7023,-11.5344
729969068,-1.03821,-1.50085,-1.16650,6.4962,41.3817,31.1145,0.03198,-0.26025,-1.09924,10.0229,23.6489,-12.0458
729970067,-1.09290,-2.00000,-0.88245,11.1298,43.8015,29.4809,0.03015,-0.25818,-1.09473,9.7405,22.5802,-12.4656
729971068,-1.13184,-1.94287,-0.80872,25.2977,36.8779,19.4427,0.02759,-0.25525,-1.09167,9.4733,21.4656,-12.7939
729972068,-1.43335,-1.54468,-1.54871,20.5878,27.7863,18.0229,0.02368,-0.25317,-1.08984,9.1756,20.2977,-13.0534
729973068,-1.62012,-1.51160,-1.93542,16.4122,25.3664,23.2137,0.01965,-0.25146,-1.08655,8.8702,19.0611,-13.2672
729974067,-1.52478,-1.96948,-1.41956,21.2595,35.5725,26.4275,0.01624,-0.25012,-1.08191,8.5496,17.7557,-13.4198
729975067,-1.34241,-2.00000,-0.88770,17.1527,54.6336,26.8626,0.01282,-0.24866,-1.07788,8.2214,16.4046,-13.5496
729976068,-1.20532,-2.00000,-0.87134,11.4198,77.0992,22.7863,0.01001,-0.24683,-1.07458,7.9084,15.0153,-13.6260
729977068,-0.90002,-2.00000,-0.61780,17.5649,98.3969,16.6565,0.00769,-0.24536,-1.07080,7.6565,13.6336,-13.6718
729978067,-0.70813,-2.00000,-0.43018,17.2748,102.2901,18.1756,0.00574,-0.24487,-1.06763,7.4809,12.2672,-13.7023
