t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
100131772,0.09985,-1.00610,-0.17810,-3.8855,-2.8015,-1.6718,0.63940,-0.81091,-0.00049,-2.9847,0.4427,0.1145
100132771,0.10693,-1.01538,-0.16333,-4.6107,-2.6794,-1.5573,0.64038,-0.81042,-0.00183,-3.0076,0.3969,0.1374
100133770,0.11816,-1.00024,-0.14954,-5.0153,-2.6412,-1.7023,0.64136,-0.80981,-0.00183,-3.0229,0.3740,0.1679
100134771,0.12109,-0.99353,-0.13135,-4.5344,-2.6718,-1.7786,0.64124,-0.81006,-0.00110,-3.0305,0.3435,0.2290
100135771,0.11731,-0.98730,-0.13354,-3.8015,-2.9389,-1.8702,0.64001,-0.81067,-0.00098,-3.0534,0.2824,0.2901
100136770,0.11047,-0.96375,-0.15540,-3.5496,-3.2214,-2.0153,0.63892,-0.81189,0.00000,-3.0992,0.1908,0.3511
100137771,0.10632,-0.94678,-0.16943,-3.2748,-3.2672,-1.9924,0.63892,-0.81311,0.00122,-3.1450,0.0916,0.4198
100138770,0.10498,-0.95740,-0.16187,-2.2290,-3.1374,-1.8855,0.63953,-0.81372,0.00183,-3.1679,-0.0076,0.4809
100139768,0.10596,-0.97107,-0.15479,-1.0000,-3.1450,-2.0153,0.64148,-0.81555,0.00220,-3.0916,-0.1603,0.5267
100140768,0.10815,-0.96008,-0.14966,-0.2901,-3.0763,-2.3130,0.64246,-0.81689,0.00293,-3.0305,-0.1985,0.5344
100141768,0.10950,-0.94336,-0.13220,0.2519,-2.8855,-2.3969,0.64258,-0.81824,0.00378,-2.9847,-0.2519,0.5420
100142771,0.10657,-0.93530,-0.13733,0.7863,-2.9160,-2.2901,0.64172,-0.81897,0.00513,-2.9237,-0.2977,0.5725
100143767,0.09668,-0.93665,-0.16821,1.5802,-3.0305,-2.1374,0.64148,-0.81946,0.00598,-2.8397,-0.3359,0.6031
100144771,0.09998,-0.94336,-0.17139,2.5878,-2.6870,-2.1450,0.64185,-0.81946,0.00549,-2.7252,-0.3817,0.6336
100145771,0.11328,-0.94910,-0.14966,3.5802,-2.3969,-2.2290,0.64185,-0.81897,0.00415,-2.6031,-0.4275,0.6260
100146771,0.11206,-0.95972,-0.14453,4.5420,-2.5496,-2.2901,0.64172,-0.81897,0.00342,-2.4962,-0.4504,0.6183
100147770,0.10620,-0.96228,-0.16138,5.2595,-2.7786,-2.4580,0.64172,-0.81982,0.00305,-2.4122,-0.4580,0.5954
100148770,0.10583,-0.95837,-0.16699,6.1374,-2.6031,-2.6260,0.64160,-0.82056,0.00281,-2.3053,-0.4962,0.5725
100149768,0.10449,-0.96826,-0.16162,7.0840,-2.3664,-2.6031,0.64209,-0.82092,0.00232,-2.1679,-0.5725,0.5573
100150768,0.10156,-0.99866,-0.17432,7.5496,-2.3588,-2.3969,0.64221,-0.82080,0.00220,-2.0611,-0.6336,0.5420
100151768,0.10181,-1.03101,-0.18396,7.1145,-2.3282,-2.1985,0.64197,-0.81982,0.00293,-1.9695,-0.6718,0.5191
100152772,0.11072,-1.04016,-0.16919,6.0916,-2.1450,-2.1679,0.64111,-0.81860,0.00342,-1.8702,-0.6947,0.4962
100153771,0.11719,-1.03027,-0.14722,5.4198,-2.0840,-2.2137,0.64026,-0.81775,0.00342,-1.7786,-0.7176,0.5115
100154771,0.11304,-1.01440,-0.15271,5.0229,-2.2977,-2.2061,0.64001,-0.81775,0.00342,-1.6794,-0.7176,0.5267
100155771,0.10742,-0.99487,-0.16504,4.4580,-2.3206,-2.1145,0.63977,-0.81799,0.00464,-1.5802,-0.7405,0.5420
100156771,0.11023,-0.98096,-0.14771,3.9237,-2.0763,-1.9695,0.64014,-0.81787,0.00647,-1.5115,-0.8092,0.5038
100157771,0.11853,-0.98853,-0.13599,3.7939,-2.0763,-1.8092,0.64038,-0.81775,0.00732,-1.4580,-0.8931,0.4427
100158770,0.11401,-1.02234,-0.14600,3.9847,-2.3130,-1.7023,0.64038,-0.81824,0.00830,-1.3893,-0.9771,0.3893
100159770,0.10510,-1.05518,-0.15295,3.6565,-2.4656,-1.7481,0.64050,-0.81946,0.00940,-1.3130,-1.0305,0.3664
100160770,0.10901,-1.05737,-0.14978,2.8092,-2.4351,-1.9237,0.64099,-0.82043,0.00964,-1.2672,-1.0763,0.3664
100161770,0.11792,-1.03491,-0.13599,2.4733,-2.3282,-2.1374,0.64111,-0.82068,0.01038,-1.2290,-1.1221,0.3435
100162770,0.12280,-1.01086,-0.12207,2.8321,-2.3206,-2.3206,0.63977,-0.82104,0.01025,-1.1985,-1.1985,0.2977
100163770,0.12012,-1.00037,-0.12622,2.8931,-2.6031,-2.3053,0.63904,-0.82153,0.00879,-1.1603,-1.2672,0.2519
100164768,0.11292,-0.98730,-0.14771,1.9389,-2.9771,-2.1679,0.64014,-0.82178,0.00745,-1.0840,-1.3359,0.2366
